Running on host: studgpu-node01.inf.ethz.ch
In directory: /cluster/courses/3dv/data/team-25/decentralized_marl/ppo_algorithm
Starting on: Mon Jun 24 11:45:43 CEST 2024
SLURM_JOB_ID: 22695
using cuda
episode: 0 | avg score: -40.0 | learning_steps: 0
episode: 100 | avg score: 1.2 | learning_steps: 39
episode: 200 | avg score: -1.6 | learning_steps: 78
episode: 300 | avg score: 4.2 | learning_steps: 117
episode: 400 | avg score: 5.0 | learning_steps: 156
episode: 500 | avg score: 6.8 | learning_steps: 195
episode: 600 | avg score: 4.8 | learning_steps: 234
episode: 700 | avg score: 16.4 | learning_steps: 273
episode: 800 | avg score: 20.2 | learning_steps: 312
episode: 900 | avg score: 25.2 | learning_steps: 351
episode: 1000 | avg score: 26.6 | learning_steps: 391
episode: 1100 | avg score: 32.6 | learning_steps: 430
episode: 1200 | avg score: 51.0 | learning_steps: 469
episode: 1300 | avg score: 57.8 | learning_steps: 508
episode: 1400 | avg score: 56.0 | learning_steps: 547
episode: 1500 | avg score: 24.4 | learning_steps: 586
episode: 1600 | avg score: 76.7 | learning_steps: 624
episode: 1700 | avg score: 92.1 | learning_steps: 662
episode: 1800 | avg score: 90.2 | learning_steps: 700
episode: 1900 | avg score: 110.6 | learning_steps: 736
episode: 2000 | avg score: 125.2 | learning_steps: 770
episode: 2100 | avg score: 121.8 | learning_steps: 805
episode: 2200 | avg score: 129.8 | learning_steps: 839
episode: 2300 | avg score: 124.0 | learning_steps: 874
episode: 2400 | avg score: 121.4 | learning_steps: 908
episode: 2500 | avg score: 127.9 | learning_steps: 942
episode: 2600 | avg score: 140.7 | learning_steps: 975
episode: 2700 | avg score: 123.1 | learning_steps: 1009
episode: 2800 | avg score: 118.4 | learning_steps: 1044
episode: 2900 | avg score: 124.8 | learning_steps: 1078
slurmstepd: error: *** JOB 22695 ON studgpu-node01 CANCELLED AT 2024-06-24T11:53:59 ***
