Running on host: studgpu-node01.inf.ethz.ch
In directory: /cluster/courses/3dv/data/team-25/decentralized_marl/ppo_algorithm
Starting on: Tue Jun 25 01:13:12 CEST 2024
SLURM_JOB_ID: 22817
using cuda
episode: 0 | avg score: 40.0 | learning_steps: 0
episode: 100 | avg score: 13.5 | learning_steps: 37
episode: 200 | avg score: 14.4 | learning_steps: 75
episode: 300 | avg score: 21.9 | learning_steps: 111
episode: 400 | avg score: 15.4 | learning_steps: 148
episode: 500 | avg score: 24.3 | learning_steps: 184
episode: 600 | avg score: 23.0 | learning_steps: 220
episode: 700 | avg score: 25.7 | learning_steps: 256
episode: 800 | avg score: 22.8 | learning_steps: 293
episode: 900 | avg score: 28.1 | learning_steps: 330
episode: 1000 | avg score: 28.0 | learning_steps: 366
episode: 1100 | avg score: 26.0 | learning_steps: 402
episode: 1200 | avg score: 37.0 | learning_steps: 436
episode: 1300 | avg score: 42.0 | learning_steps: 470
episode: 1400 | avg score: 42.0 | learning_steps: 505
episode: 1500 | avg score: 46.8 | learning_steps: 538
episode: 1600 | avg score: 43.0 | learning_steps: 571
episode: 1700 | avg score: 38.6 | learning_steps: 606
episode: 1800 | avg score: 52.7 | learning_steps: 638
episode: 1900 | avg score: 67.8 | learning_steps: 668
episode: 2000 | avg score: 69.9 | learning_steps: 696
episode: 2100 | avg score: 71.4 | learning_steps: 725
episode: 2200 | avg score: 74.6 | learning_steps: 753
episode: 2300 | avg score: 80.0 | learning_steps: 780
episode: 2400 | avg score: 71.3 | learning_steps: 808
episode: 2500 | avg score: 61.6 | learning_steps: 836
episode: 2600 | avg score: 77.7 | learning_steps: 863
slurmstepd: error: *** JOB 22817 ON studgpu-node01 CANCELLED AT 2024-06-25T01:19:48 ***
