Running on host: studgpu-node09.inf.ethz.ch
In directory: /cluster/courses/3dv/data/team-25/decentralized_marl/catmouse_experiments
Starting on: Tue Jun 25 16:33:15 CEST 2024
SLURM_JOB_ID: 22912
using cuda
episode: 0 | avg score: -4.0 | learning_steps: 0
episode: 100 | avg score: -4.9 | learning_steps: 2
episode: 200 | avg score: -4.7 | learning_steps: 4
episode: 300 | avg score: -4.7 | learning_steps: 6
episode: 400 | avg score: -5.1 | learning_steps: 8
episode: 500 | avg score: -5.2 | learning_steps: 10
episode: 600 | avg score: -5.2 | learning_steps: 12
episode: 700 | avg score: -4.9 | learning_steps: 15
episode: 800 | avg score: -5.6 | learning_steps: 17
episode: 900 | avg score: -4.6 | learning_steps: 19
episode: 1000 | avg score: -4.9 | learning_steps: 21
episode: 1100 | avg score: -5.0 | learning_steps: 23
episode: 1200 | avg score: -4.3 | learning_steps: 25
episode: 1300 | avg score: -4.4 | learning_steps: 27
episode: 1400 | avg score: -5.0 | learning_steps: 30
episode: 1500 | avg score: -5.5 | learning_steps: 32
episode: 1600 | avg score: -5.0 | learning_steps: 34
episode: 1700 | avg score: -5.4 | learning_steps: 36
episode: 1800 | avg score: -6.0 | learning_steps: 38
episode: 1900 | avg score: -4.8 | learning_steps: 41
episode: 2000 | avg score: -4.8 | learning_steps: 43
episode: 2100 | avg score: -4.5 | learning_steps: 45
episode: 2200 | avg score: -4.6 | learning_steps: 47
episode: 2300 | avg score: -4.2 | learning_steps: 49
episode: 2400 | avg score: -5.1 | learning_steps: 51
episode: 2500 | avg score: -5.4 | learning_steps: 53
episode: 2600 | avg score: -5.4 | learning_steps: 56
episode: 2700 | avg score: -5.2 | learning_steps: 58
episode: 2800 | avg score: -4.6 | learning_steps: 60
episode: 2900 | avg score: -4.1 | learning_steps: 62
episode: 3000 | avg score: -4.0 | learning_steps: 64
episode: 3100 | avg score: -4.7 | learning_steps: 66
episode: 3200 | avg score: -5.0 | learning_steps: 68
episode: 3300 | avg score: -5.3 | learning_steps: 70
episode: 3400 | avg score: -4.7 | learning_steps: 73
episode: 3500 | avg score: -4.3 | learning_steps: 75
episode: 3600 | avg score: -3.8 | learning_steps: 77
episode: 3700 | avg score: -5.0 | learning_steps: 79
episode: 3800 | avg score: -5.2 | learning_steps: 81
episode: 3900 | avg score: -5.0 | learning_steps: 83
episode: 4000 | avg score: -4.5 | learning_steps: 85
episode: 4100 | avg score: -4.6 | learning_steps: 88
episode: 4200 | avg score: -4.5 | learning_steps: 90
episode: 4300 | avg score: -5.6 | learning_steps: 92
episode: 4400 | avg score: -4.8 | learning_steps: 94
episode: 4500 | avg score: -5.0 | learning_steps: 96
episode: 4600 | avg score: -5.2 | learning_steps: 98
episode: 4700 | avg score: -5.1 | learning_steps: 101
episode: 4800 | avg score: -5.4 | learning_steps: 103
episode: 4900 | avg score: -4.5 | learning_steps: 105
episode: 5000 | avg score: -5.2 | learning_steps: 107
episode: 5100 | avg score: -5.2 | learning_steps: 109
episode: 5200 | avg score: -5.3 | learning_steps: 111
episode: 5300 | avg score: -5.0 | learning_steps: 113
episode: 5400 | avg score: -4.9 | learning_steps: 115
episode: 5500 | avg score: -5.6 | learning_steps: 118
episode: 5600 | avg score: -4.0 | learning_steps: 120
episode: 5700 | avg score: -5.0 | learning_steps: 122
episode: 5800 | avg score: -4.9 | learning_steps: 124
episode: 5900 | avg score: -4.9 | learning_steps: 126
episode: 6000 | avg score: -4.6 | learning_steps: 128
episode: 6100 | avg score: -4.4 | learning_steps: 130
episode: 6200 | avg score: -4.8 | learning_steps: 133
episode: 6300 | avg score: -4.7 | learning_steps: 135
episode: 6400 | avg score: -5.1 | learning_steps: 137
episode: 6500 | avg score: -4.7 | learning_steps: 139
episode: 6600 | avg score: -4.4 | learning_steps: 141
episode: 6700 | avg score: -4.6 | learning_steps: 143
episode: 6800 | avg score: -4.2 | learning_steps: 146
episode: 6900 | avg score: -5.3 | learning_steps: 148
episode: 7000 | avg score: -4.8 | learning_steps: 150
episode: 7100 | avg score: -4.6 | learning_steps: 152
episode: 7200 | avg score: -4.3 | learning_steps: 154
episode: 7300 | avg score: -4.7 | learning_steps: 156
episode: 7400 | avg score: -4.8 | learning_steps: 159
episode: 7500 | avg score: -5.3 | learning_steps: 161
episode: 7600 | avg score: -5.4 | learning_steps: 163
episode: 7700 | avg score: -5.1 | learning_steps: 165
episode: 7800 | avg score: -4.7 | learning_steps: 167
episode: 7900 | avg score: -4.9 | learning_steps: 170
episode: 8000 | avg score: -4.3 | learning_steps: 172
episode: 8100 | avg score: -4.8 | learning_steps: 174
episode: 8200 | avg score: -5.1 | learning_steps: 176
episode: 8300 | avg score: -5.4 | learning_steps: 178
episode: 8400 | avg score: -5.0 | learning_steps: 180
episode: 8500 | avg score: -4.6 | learning_steps: 182
episode: 8600 | avg score: -5.0 | learning_steps: 185
episode: 8700 | avg score: -4.7 | learning_steps: 187
episode: 8800 | avg score: -4.5 | learning_steps: 189
episode: 8900 | avg score: -4.7 | learning_steps: 191
episode: 9000 | avg score: -5.4 | learning_steps: 193
episode: 9100 | avg score: -5.4 | learning_steps: 195
episode: 9200 | avg score: -5.1 | learning_steps: 197
episode: 9300 | avg score: -5.0 | learning_steps: 199
