Running on host: studgpu-node09.inf.ethz.ch
In directory: /cluster/courses/3dv/data/team-25/decentralized_marl/catmouse_experiments
Starting on: Tue Jun 25 16:51:04 CEST 2024
SLURM_JOB_ID: 22925
using cuda
episode: 0 | avg score: 76.0 | learning_steps: 0
episode: 100 | avg score: 29.9 | learning_steps: 23
episode: 200 | avg score: 23.2 | learning_steps: 46
episode: 300 | avg score: 34.3 | learning_steps: 67
episode: 400 | avg score: 37.9 | learning_steps: 88
episode: 500 | avg score: 55.3 | learning_steps: 107
episode: 600 | avg score: 60.1 | learning_steps: 123
episode: 700 | avg score: 55.0 | learning_steps: 142
episode: 800 | avg score: 54.1 | learning_steps: 161
episode: 900 | avg score: 56.4 | learning_steps: 178
episode: 1000 | avg score: 59.4 | learning_steps: 195
episode: 1100 | avg score: 70.4 | learning_steps: 210
episode: 1200 | avg score: 74.6 | learning_steps: 224
episode: 1300 | avg score: 75.0 | learning_steps: 238
episode: 1400 | avg score: 72.5 | learning_steps: 254
episode: 1500 | avg score: 74.0 | learning_steps: 271
episode: 1600 | avg score: 70.6 | learning_steps: 286
episode: 1700 | avg score: 80.7 | learning_steps: 298
episode: 1800 | avg score: 72.7 | learning_steps: 315
episode: 1900 | avg score: 71.7 | learning_steps: 329
episode: 2000 | avg score: 80.8 | learning_steps: 343
episode: 2100 | avg score: 83.5 | learning_steps: 357
episode: 2200 | avg score: 85.4 | learning_steps: 371
episode: 2300 | avg score: 92.6 | learning_steps: 384
episode: 2400 | avg score: 88.7 | learning_steps: 396
episode: 2500 | avg score: 89.2 | learning_steps: 407
episode: 2600 | avg score: 86.4 | learning_steps: 419
episode: 2700 | avg score: 81.0 | learning_steps: 433
episode: 2800 | avg score: 94.2 | learning_steps: 446
episode: 2900 | avg score: 93.6 | learning_steps: 458
episode: 3000 | avg score: 86.0 | learning_steps: 471
episode: 3100 | avg score: 87.1 | learning_steps: 482
episode: 3200 | avg score: 96.3 | learning_steps: 494
episode: 3300 | avg score: 89.0 | learning_steps: 506
episode: 3400 | avg score: 92.6 | learning_steps: 517
episode: 3500 | avg score: 97.2 | learning_steps: 529
episode: 3600 | avg score: 92.1 | learning_steps: 539
episode: 3700 | avg score: 93.2 | learning_steps: 551
episode: 3800 | avg score: 91.6 | learning_steps: 564
episode: 3900 | avg score: 90.3 | learning_steps: 576
episode: 4000 | avg score: 96.3 | learning_steps: 590
episode: 4100 | avg score: 93.1 | learning_steps: 602
episode: 4200 | avg score: 85.3 | learning_steps: 617
episode: 4300 | avg score: 98.4 | learning_steps: 629
episode: 4400 | avg score: 96.7 | learning_steps: 641
episode: 4500 | avg score: 91.8 | learning_steps: 652
episode: 4600 | avg score: 93.7 | learning_steps: 664
episode: 4700 | avg score: 99.4 | learning_steps: 676
episode: 4800 | avg score: 101.4 | learning_steps: 687
episode: 4900 | avg score: 101.5 | learning_steps: 699
episode: 5000 | avg score: 105.7 | learning_steps: 708
episode: 5100 | avg score: 103.8 | learning_steps: 719
episode: 5200 | avg score: 96.6 | learning_steps: 730
episode: 5300 | avg score: 105.0 | learning_steps: 741
episode: 5400 | avg score: 96.8 | learning_steps: 752
episode: 5500 | avg score: 105.6 | learning_steps: 762
episode: 5600 | avg score: 98.4 | learning_steps: 776
episode: 5700 | avg score: 101.7 | learning_steps: 788
episode: 5800 | avg score: 93.0 | learning_steps: 801
episode: 5900 | avg score: 106.6 | learning_steps: 811
episode: 6000 | avg score: 107.0 | learning_steps: 821
episode: 6100 | avg score: 98.7 | learning_steps: 832
episode: 6200 | avg score: 104.1 | learning_steps: 843
episode: 6300 | avg score: 104.6 | learning_steps: 853
episode: 6400 | avg score: 105.9 | learning_steps: 862
episode: 6500 | avg score: 105.8 | learning_steps: 873
episode: 6600 | avg score: 109.2 | learning_steps: 882
episode: 6700 | avg score: 101.4 | learning_steps: 892
episode: 6800 | avg score: 99.8 | learning_steps: 903
episode: 6900 | avg score: 105.6 | learning_steps: 913
episode: 7000 | avg score: 120.3 | learning_steps: 923
episode: 7100 | avg score: 104.8 | learning_steps: 933
episode: 7200 | avg score: 103.9 | learning_steps: 943
episode: 7300 | avg score: 115.3 | learning_steps: 953
episode: 7400 | avg score: 112.4 | learning_steps: 962
episode: 7500 | avg score: 116.1 | learning_steps: 972
episode: 7600 | avg score: 110.6 | learning_steps: 981
episode: 7700 | avg score: 102.5 | learning_steps: 991
episode: 7800 | avg score: 101.6 | learning_steps: 1001
episode: 7900 | avg score: 105.2 | learning_steps: 1010
episode: 8000 | avg score: 103.7 | learning_steps: 1019
episode: 8100 | avg score: 109.2 | learning_steps: 1029
episode: 8200 | avg score: 114.6 | learning_steps: 1039
episode: 8300 | avg score: 117.1 | learning_steps: 1047
episode: 8400 | avg score: 110.2 | learning_steps: 1057
episode: 8500 | avg score: 110.6 | learning_steps: 1066
episode: 8600 | avg score: 108.9 | learning_steps: 1075
episode: 8700 | avg score: 110.1 | learning_steps: 1085
episode: 8800 | avg score: 115.3 | learning_steps: 1094
episode: 8900 | avg score: 110.2 | learning_steps: 1104
episode: 9000 | avg score: 114.6 | learning_steps: 1116
episode: 9100 | avg score: 111.8 | learning_steps: 1126
episode: 9200 | avg score: 108.0 | learning_steps: 1138
episode: 9300 | avg score: 108.0 | learning_steps: 1150
episode: 9400 | avg score: 109.7 | learning_steps: 1160
episode: 9500 | avg score: 107.0 | learning_steps: 1169
episode: 9600 | avg score: 112.4 | learning_steps: 1178
episode: 9700 | avg score: 115.8 | learning_steps: 1187
episode: 9800 | avg score: 107.1 | learning_steps: 1195
episode: 9900 | avg score: 102.0 | learning_steps: 1204
episode: 10000 | avg score: 115.8 | learning_steps: 1213
episode: 10100 | avg score: 113.6 | learning_steps: 1224
episode: 10200 | avg score: 109.3 | learning_steps: 1233
episode: 10300 | avg score: 115.3 | learning_steps: 1243
episode: 10400 | avg score: 112.4 | learning_steps: 1253
episode: 10500 | avg score: 111.9 | learning_steps: 1263
episode: 10600 | avg score: 112.7 | learning_steps: 1274
episode: 10700 | avg score: 121.0 | learning_steps: 1283
episode: 10800 | avg score: 109.1 | learning_steps: 1293
episode: 10900 | avg score: 110.8 | learning_steps: 1303
episode: 11000 | avg score: 105.8 | learning_steps: 1315
episode: 11100 | avg score: 107.3 | learning_steps: 1326
episode: 11200 | avg score: 112.4 | learning_steps: 1335
episode: 11300 | avg score: 108.5 | learning_steps: 1346
episode: 11400 | avg score: 110.7 | learning_steps: 1356
episode: 11500 | avg score: 114.9 | learning_steps: 1364
episode: 11600 | avg score: 111.3 | learning_steps: 1373
episode: 11700 | avg score: 124.1 | learning_steps: 1382
episode: 11800 | avg score: 117.9 | learning_steps: 1390
episode: 11900 | avg score: 108.9 | learning_steps: 1399
episode: 12000 | avg score: 110.3 | learning_steps: 1409
episode: 12100 | avg score: 111.8 | learning_steps: 1418
episode: 12200 | avg score: 111.1 | learning_steps: 1429
episode: 12300 | avg score: 110.6 | learning_steps: 1440
episode: 12400 | avg score: 112.8 | learning_steps: 1449
episode: 12500 | avg score: 114.4 | learning_steps: 1459
episode: 12600 | avg score: 116.6 | learning_steps: 1468
episode: 12700 | avg score: 112.0 | learning_steps: 1476
episode: 12800 | avg score: 112.4 | learning_steps: 1486
episode: 12900 | avg score: 112.4 | learning_steps: 1495
episode: 13000 | avg score: 112.7 | learning_steps: 1503
episode: 13100 | avg score: 112.1 | learning_steps: 1512
episode: 13200 | avg score: 108.8 | learning_steps: 1521
