Running on host: studgpu-node01.inf.ethz.ch
In directory: /cluster/courses/3dv/data/team-25/decentralized_marl/catmouse_experiments
Starting on: Wed Jun 26 11:13:28 CEST 2024
SLURM_JOB_ID: 23027
using cuda
episode: 0 | avg score: 198.0 | learning_steps: 0
episode: 100 | avg score: 128.4 | learning_steps: 30
episode: 200 | avg score: 129.9 | learning_steps: 61
episode: 300 | avg score: 126.4 | learning_steps: 92
episode: 400 | avg score: 117.2 | learning_steps: 124
episode: 500 | avg score: 122.8 | learning_steps: 156
episode: 600 | avg score: 135.8 | learning_steps: 185
episode: 700 | avg score: 134.4 | learning_steps: 215
episode: 800 | avg score: 143.5 | learning_steps: 244
episode: 900 | avg score: 148.7 | learning_steps: 274
episode: 1000 | avg score: 157.1 | learning_steps: 302
episode: 1100 | avg score: 151.8 | learning_steps: 329
episode: 1200 | avg score: 166.4 | learning_steps: 356
episode: 1300 | avg score: 167.1 | learning_steps: 383
episode: 1400 | avg score: 175.9 | learning_steps: 407
episode: 1500 | avg score: 167.0 | learning_steps: 433
episode: 1600 | avg score: 164.0 | learning_steps: 458
episode: 1700 | avg score: 170.4 | learning_steps: 483
episode: 1800 | avg score: 172.5 | learning_steps: 507
episode: 1900 | avg score: 181.6 | learning_steps: 529
episode: 2000 | avg score: 194.0 | learning_steps: 551
episode: 2100 | avg score: 177.1 | learning_steps: 576
episode: 2200 | avg score: 179.8 | learning_steps: 599
episode: 2300 | avg score: 176.7 | learning_steps: 623
episode: 2400 | avg score: 168.8 | learning_steps: 649
episode: 2500 | avg score: 177.0 | learning_steps: 674
episode: 2600 | avg score: 156.1 | learning_steps: 702
episode: 2700 | avg score: 168.9 | learning_steps: 727
episode: 2800 | avg score: 170.8 | learning_steps: 752
episode: 2900 | avg score: 193.2 | learning_steps: 777
episode: 3000 | avg score: 190.7 | learning_steps: 800
episode: 3100 | avg score: 192.0 | learning_steps: 822
episode: 3200 | avg score: 206.1 | learning_steps: 842
episode: 3300 | avg score: 202.9 | learning_steps: 863
episode: 3400 | avg score: 197.0 | learning_steps: 885
episode: 3500 | avg score: 198.1 | learning_steps: 907
episode: 3600 | avg score: 189.1 | learning_steps: 931
episode: 3700 | avg score: 200.9 | learning_steps: 954
episode: 3800 | avg score: 186.5 | learning_steps: 977
episode: 3900 | avg score: 199.1 | learning_steps: 997
episode: 4000 | avg score: 194.4 | learning_steps: 1020
episode: 4100 | avg score: 194.2 | learning_steps: 1043
episode: 4200 | avg score: 197.5 | learning_steps: 1064
episode: 4300 | avg score: 197.2 | learning_steps: 1085
episode: 4400 | avg score: 199.0 | learning_steps: 1106
episode: 4500 | avg score: 202.4 | learning_steps: 1126
episode: 4600 | avg score: 201.6 | learning_steps: 1146
episode: 4700 | avg score: 192.9 | learning_steps: 1169
episode: 4800 | avg score: 202.7 | learning_steps: 1190
episode: 4900 | avg score: 206.2 | learning_steps: 1210
episode: 5000 | avg score: 206.8 | learning_steps: 1229
episode: 5100 | avg score: 192.6 | learning_steps: 1251
episode: 5200 | avg score: 210.8 | learning_steps: 1271
episode: 5300 | avg score: 209.9 | learning_steps: 1291
episode: 5400 | avg score: 203.9 | learning_steps: 1312
episode: 5500 | avg score: 191.1 | learning_steps: 1334
episode: 5600 | avg score: 189.7 | learning_steps: 1356
episode: 5700 | avg score: 194.5 | learning_steps: 1377
episode: 5800 | avg score: 199.6 | learning_steps: 1397
episode: 5900 | avg score: 201.0 | learning_steps: 1419
episode: 6000 | avg score: 209.2 | learning_steps: 1440
episode: 6100 | avg score: 213.9 | learning_steps: 1461
episode: 6200 | avg score: 204.4 | learning_steps: 1482
episode: 6300 | avg score: 209.8 | learning_steps: 1499
episode: 6400 | avg score: 214.0 | learning_steps: 1518
episode: 6500 | avg score: 196.5 | learning_steps: 1538
episode: 6600 | avg score: 209.0 | learning_steps: 1560
episode: 6700 | avg score: 214.8 | learning_steps: 1582
episode: 6800 | avg score: 211.2 | learning_steps: 1607
episode: 6900 | avg score: 214.2 | learning_steps: 1628
episode: 7000 | avg score: 215.9 | learning_steps: 1648
episode: 7100 | avg score: 203.2 | learning_steps: 1670
episode: 7200 | avg score: 205.0 | learning_steps: 1689
episode: 7300 | avg score: 208.3 | learning_steps: 1708
episode: 7400 | avg score: 207.7 | learning_steps: 1728
episode: 7500 | avg score: 204.6 | learning_steps: 1748
episode: 7600 | avg score: 202.7 | learning_steps: 1767
episode: 7700 | avg score: 206.2 | learning_steps: 1786
episode: 7800 | avg score: 201.9 | learning_steps: 1807
episode: 7900 | avg score: 203.5 | learning_steps: 1829
episode: 8000 | avg score: 197.9 | learning_steps: 1850
episode: 8100 | avg score: 215.0 | learning_steps: 1867
episode: 8200 | avg score: 209.4 | learning_steps: 1886
episode: 8300 | avg score: 210.4 | learning_steps: 1906
episode: 8400 | avg score: 218.1 | learning_steps: 1928
episode: 8500 | avg score: 205.3 | learning_steps: 1948
episode: 8600 | avg score: 209.3 | learning_steps: 1966
episode: 8700 | avg score: 209.1 | learning_steps: 1985
episode: 8800 | avg score: 208.2 | learning_steps: 2002
episode: 8900 | avg score: 214.4 | learning_steps: 2022
episode: 9000 | avg score: 202.9 | learning_steps: 2041
episode: 9100 | avg score: 211.8 | learning_steps: 2058
episode: 9200 | avg score: 211.3 | learning_steps: 2076
episode: 9300 | avg score: 208.5 | learning_steps: 2094
episode: 9400 | avg score: 210.1 | learning_steps: 2112
episode: 9500 | avg score: 212.1 | learning_steps: 2131
episode: 9600 | avg score: 214.6 | learning_steps: 2150
episode: 9700 | avg score: 216.5 | learning_steps: 2172
episode: 9800 | avg score: 220.8 | learning_steps: 2192
episode: 9900 | avg score: 223.8 | learning_steps: 2211
episode: 10000 | avg score: 226.2 | learning_steps: 2232
episode: 10100 | avg score: 220.2 | learning_steps: 2254
episode: 10200 | avg score: 238.1 | learning_steps: 2272
episode: 10300 | avg score: 212.5 | learning_steps: 2292
episode: 10400 | avg score: 208.5 | learning_steps: 2312
episode: 10500 | avg score: 219.0 | learning_steps: 2330
episode: 10600 | avg score: 211.6 | learning_steps: 2348
episode: 10700 | avg score: 208.2 | learning_steps: 2366
episode: 10800 | avg score: 216.7 | learning_steps: 2383
episode: 10900 | avg score: 214.8 | learning_steps: 2401
episode: 11000 | avg score: 208.3 | learning_steps: 2419
episode: 11100 | avg score: 212.3 | learning_steps: 2437
episode: 11200 | avg score: 207.3 | learning_steps: 2455
episode: 11300 | avg score: 212.7 | learning_steps: 2473
episode: 11400 | avg score: 214.1 | learning_steps: 2491
episode: 11500 | avg score: 205.8 | learning_steps: 2509
episode: 11600 | avg score: 212.1 | learning_steps: 2527
episode: 11700 | avg score: 211.5 | learning_steps: 2545
episode: 11800 | avg score: 215.1 | learning_steps: 2562
episode: 11900 | avg score: 209.5 | learning_steps: 2581
episode: 12000 | avg score: 210.9 | learning_steps: 2599
episode: 12100 | avg score: 219.0 | learning_steps: 2617
episode: 12200 | avg score: 209.8 | learning_steps: 2635
episode: 12300 | avg score: 202.3 | learning_steps: 2655
episode: 12400 | avg score: 204.3 | learning_steps: 2672
episode: 12500 | avg score: 211.9 | learning_steps: 2690
episode: 12600 | avg score: 224.1 | learning_steps: 2708
episode: 12700 | avg score: 203.7 | learning_steps: 2728
episode: 12800 | avg score: 210.8 | learning_steps: 2747
episode: 12900 | avg score: 201.0 | learning_steps: 2767
episode: 13000 | avg score: 194.3 | learning_steps: 2787
episode: 13100 | avg score: 187.5 | learning_steps: 2808
episode: 13200 | avg score: 210.4 | learning_steps: 2826
episode: 13300 | avg score: 222.2 | learning_steps: 2843
episode: 13400 | avg score: 216.6 | learning_steps: 2862
episode: 13500 | avg score: 215.0 | learning_steps: 2880
episode: 13600 | avg score: 215.7 | learning_steps: 2898
episode: 13700 | avg score: 210.7 | learning_steps: 2916
episode: 13800 | avg score: 209.3 | learning_steps: 2932
episode: 13900 | avg score: 214.4 | learning_steps: 2949
episode: 14000 | avg score: 210.1 | learning_steps: 2967
episode: 14100 | avg score: 205.4 | learning_steps: 2986
episode: 14200 | avg score: 208.6 | learning_steps: 3004
episode: 14300 | avg score: 208.4 | learning_steps: 3021
episode: 14400 | avg score: 214.0 | learning_steps: 3039
episode: 14500 | avg score: 219.4 | learning_steps: 3056
episode: 14600 | avg score: 219.5 | learning_steps: 3073
episode: 14700 | avg score: 207.5 | learning_steps: 3092
episode: 14800 | avg score: 209.0 | learning_steps: 3109
episode: 14900 | avg score: 211.9 | learning_steps: 3127
episode: 15000 | avg score: 201.7 | learning_steps: 3146
episode: 15100 | avg score: 221.3 | learning_steps: 3163
episode: 15200 | avg score: 216.6 | learning_steps: 3181
episode: 15300 | avg score: 213.0 | learning_steps: 3199
episode: 15400 | avg score: 200.0 | learning_steps: 3219
episode: 15500 | avg score: 215.4 | learning_steps: 3237
episode: 15600 | avg score: 207.9 | learning_steps: 3255
episode: 15700 | avg score: 210.1 | learning_steps: 3275
episode: 15800 | avg score: 210.3 | learning_steps: 3293
episode: 15900 | avg score: 214.8 | learning_steps: 3311
episode: 16000 | avg score: 208.1 | learning_steps: 3330
episode: 16100 | avg score: 207.1 | learning_steps: 3348
episode: 16200 | avg score: 215.1 | learning_steps: 3365
episode: 16300 | avg score: 215.8 | learning_steps: 3381
episode: 16400 | avg score: 209.7 | learning_steps: 3398
episode: 16500 | avg score: 210.7 | learning_steps: 3415
episode: 16600 | avg score: 216.4 | learning_steps: 3432
episode: 16700 | avg score: 218.8 | learning_steps: 3449
episode: 16800 | avg score: 222.7 | learning_steps: 3465
episode: 16900 | avg score: 209.9 | learning_steps: 3485
episode: 17000 | avg score: 213.9 | learning_steps: 3503
episode: 17100 | avg score: 206.1 | learning_steps: 3521
episode: 17200 | avg score: 214.1 | learning_steps: 3538
episode: 17300 | avg score: 215.9 | learning_steps: 3555
episode: 17400 | avg score: 205.4 | learning_steps: 3572
episode: 17500 | avg score: 215.9 | learning_steps: 3590
episode: 17600 | avg score: 204.2 | learning_steps: 3606
episode: 17700 | avg score: 207.8 | learning_steps: 3623
episode: 17800 | avg score: 207.6 | learning_steps: 3641
episode: 17900 | avg score: 218.3 | learning_steps: 3658
episode: 18000 | avg score: 213.5 | learning_steps: 3677
episode: 18100 | avg score: 206.3 | learning_steps: 3695
episode: 18200 | avg score: 207.0 | learning_steps: 3712
episode: 18300 | avg score: 217.0 | learning_steps: 3729
episode: 18400 | avg score: 205.3 | learning_steps: 3747
episode: 18500 | avg score: 194.5 | learning_steps: 3767
episode: 18600 | avg score: 204.0 | learning_steps: 3784
episode: 18700 | avg score: 203.2 | learning_steps: 3801
episode: 18800 | avg score: 202.2 | learning_steps: 3820
episode: 18900 | avg score: 209.0 | learning_steps: 3837
episode: 19000 | avg score: 207.3 | learning_steps: 3855
episode: 19100 | avg score: 208.5 | learning_steps: 3872
episode: 19200 | avg score: 212.9 | learning_steps: 3890
episode: 19300 | avg score: 214.2 | learning_steps: 3909
episode: 19400 | avg score: 208.5 | learning_steps: 3929
episode: 19500 | avg score: 204.5 | learning_steps: 3947
episode: 19600 | avg score: 211.9 | learning_steps: 3963
episode: 19700 | avg score: 217.3 | learning_steps: 3980
episode: 19800 | avg score: 212.1 | learning_steps: 3997
episode: 19900 | avg score: 213.6 | learning_steps: 4014
finished at: Wed Jun 26 11:46:01 CEST 2024
