Running on host: studgpu-node01.inf.ethz.ch
In directory: /cluster/courses/3dv/data/team-25/decentralized_marl/catmouse_experiments
Starting on: Wed Jun 26 12:55:41 CEST 2024
SLURM_JOB_ID: 23051
using cuda
episode: 0 | avg score: -12.0 | learning_steps: 0
episode: 100 | avg score: 46.7 | learning_steps: 29
episode: 200 | avg score: 48.5 | learning_steps: 59
episode: 300 | avg score: 49.0 | learning_steps: 88
episode: 400 | avg score: 38.9 | learning_steps: 118
episode: 500 | avg score: 54.9 | learning_steps: 145
episode: 600 | avg score: 65.6 | learning_steps: 172
episode: 700 | avg score: 66.5 | learning_steps: 197
episode: 800 | avg score: 87.2 | learning_steps: 222
episode: 900 | avg score: 76.6 | learning_steps: 247
episode: 1000 | avg score: 96.3 | learning_steps: 269
episode: 1100 | avg score: 89.0 | learning_steps: 292
episode: 1200 | avg score: 101.8 | learning_steps: 314
episode: 1300 | avg score: 88.7 | learning_steps: 336
episode: 1400 | avg score: 95.4 | learning_steps: 358
episode: 1500 | avg score: 112.7 | learning_steps: 379
episode: 1600 | avg score: 108.4 | learning_steps: 400
episode: 1700 | avg score: 105.0 | learning_steps: 420
episode: 1800 | avg score: 115.4 | learning_steps: 440
episode: 1900 | avg score: 94.3 | learning_steps: 462
episode: 2000 | avg score: 121.5 | learning_steps: 481
episode: 2100 | avg score: 128.8 | learning_steps: 499
episode: 2200 | avg score: 126.6 | learning_steps: 517
episode: 2300 | avg score: 137.5 | learning_steps: 535
episode: 2400 | avg score: 119.6 | learning_steps: 553
episode: 2500 | avg score: 123.7 | learning_steps: 570
episode: 2600 | avg score: 125.2 | learning_steps: 589
episode: 2700 | avg score: 141.1 | learning_steps: 607
episode: 2800 | avg score: 125.1 | learning_steps: 626
episode: 2900 | avg score: 135.7 | learning_steps: 642
episode: 3000 | avg score: 127.1 | learning_steps: 661
episode: 3100 | avg score: 127.3 | learning_steps: 679
episode: 3200 | avg score: 127.1 | learning_steps: 697
episode: 3300 | avg score: 135.7 | learning_steps: 714
episode: 3400 | avg score: 152.4 | learning_steps: 732
episode: 3500 | avg score: 150.6 | learning_steps: 749
episode: 3600 | avg score: 139.0 | learning_steps: 769
episode: 3700 | avg score: 141.7 | learning_steps: 787
episode: 3800 | avg score: 129.0 | learning_steps: 804
episode: 3900 | avg score: 146.4 | learning_steps: 822
episode: 4000 | avg score: 136.2 | learning_steps: 840
episode: 4100 | avg score: 152.7 | learning_steps: 856
episode: 4200 | avg score: 129.0 | learning_steps: 875
episode: 4300 | avg score: 150.7 | learning_steps: 892
episode: 4400 | avg score: 157.3 | learning_steps: 908
episode: 4500 | avg score: 136.3 | learning_steps: 924
episode: 4600 | avg score: 156.4 | learning_steps: 940
episode: 4700 | avg score: 145.5 | learning_steps: 958
episode: 4800 | avg score: 159.0 | learning_steps: 975
episode: 4900 | avg score: 169.6 | learning_steps: 989
episode: 5000 | avg score: 149.5 | learning_steps: 1002
episode: 5100 | avg score: 150.8 | learning_steps: 1018
episode: 5200 | avg score: 156.9 | learning_steps: 1034
episode: 5300 | avg score: 161.9 | learning_steps: 1048
episode: 5400 | avg score: 148.5 | learning_steps: 1063
episode: 5500 | avg score: 157.7 | learning_steps: 1077
episode: 5600 | avg score: 170.2 | learning_steps: 1091
episode: 5700 | avg score: 170.0 | learning_steps: 1105
episode: 5800 | avg score: 159.4 | learning_steps: 1122
episode: 5900 | avg score: 167.1 | learning_steps: 1139
episode: 6000 | avg score: 160.5 | learning_steps: 1154
episode: 6100 | avg score: 169.1 | learning_steps: 1169
episode: 6200 | avg score: 187.0 | learning_steps: 1183
episode: 6300 | avg score: 161.9 | learning_steps: 1199
episode: 6400 | avg score: 174.2 | learning_steps: 1214
episode: 6500 | avg score: 180.9 | learning_steps: 1230
episode: 6600 | avg score: 171.5 | learning_steps: 1244
episode: 6700 | avg score: 170.1 | learning_steps: 1259
episode: 6800 | avg score: 181.0 | learning_steps: 1274
episode: 6900 | avg score: 163.0 | learning_steps: 1288
episode: 7000 | avg score: 165.3 | learning_steps: 1303
episode: 7100 | avg score: 155.7 | learning_steps: 1317
episode: 7200 | avg score: 162.5 | learning_steps: 1331
episode: 7300 | avg score: 169.1 | learning_steps: 1346
episode: 7400 | avg score: 171.3 | learning_steps: 1363
episode: 7500 | avg score: 151.8 | learning_steps: 1379
episode: 7600 | avg score: 151.4 | learning_steps: 1394
episode: 7700 | avg score: 160.0 | learning_steps: 1410
episode: 7800 | avg score: 161.7 | learning_steps: 1426
episode: 7900 | avg score: 147.8 | learning_steps: 1441
episode: 8000 | avg score: 170.2 | learning_steps: 1455
episode: 8100 | avg score: 176.9 | learning_steps: 1470
episode: 8200 | avg score: 167.2 | learning_steps: 1485
episode: 8300 | avg score: 174.9 | learning_steps: 1500
episode: 8400 | avg score: 165.4 | learning_steps: 1516
episode: 8500 | avg score: 155.6 | learning_steps: 1531
episode: 8600 | avg score: 177.1 | learning_steps: 1544
episode: 8700 | avg score: 171.2 | learning_steps: 1558
episode: 8800 | avg score: 177.6 | learning_steps: 1572
episode: 8900 | avg score: 173.4 | learning_steps: 1585
episode: 9000 | avg score: 164.3 | learning_steps: 1599
episode: 9100 | avg score: 169.8 | learning_steps: 1614
episode: 9200 | avg score: 157.2 | learning_steps: 1628
episode: 9300 | avg score: 164.8 | learning_steps: 1642
episode: 9400 | avg score: 156.9 | learning_steps: 1657
