Running on host: studgpu-node01.inf.ethz.ch
In directory: /cluster/courses/3dv/data/team-25/decentralized_marl/catmouse_experiments
Starting on: Thu Jun 27 00:05:08 CEST 2024
SLURM_JOB_ID: 23135
using cuda
episode: 0 | avg score: -100.0 | learning_steps: 0
episode: 100 | avg score: -58.0 | learning_steps: 37
episode: 200 | avg score: -36.7 | learning_steps: 74
episode: 300 | avg score: -34.4 | learning_steps: 112
episode: 400 | avg score: 1.9 | learning_steps: 149
episode: 500 | avg score: -24.3 | learning_steps: 187
episode: 600 | avg score: -10.2 | learning_steps: 224
episode: 700 | avg score: 13.3 | learning_steps: 261
episode: 800 | avg score: 7.6 | learning_steps: 298
episode: 900 | avg score: 6.9 | learning_steps: 332
episode: 1000 | avg score: -23.9 | learning_steps: 371
episode: 1100 | avg score: -31.6 | learning_steps: 411
episode: 1200 | avg score: -23.6 | learning_steps: 450
episode: 1300 | avg score: 19.5 | learning_steps: 488
episode: 1400 | avg score: 80.3 | learning_steps: 526
episode: 1500 | avg score: 53.4 | learning_steps: 565
episode: 1600 | avg score: 54.2 | learning_steps: 603
episode: 1700 | avg score: 69.8 | learning_steps: 641
episode: 1800 | avg score: 52.3 | learning_steps: 680
episode: 1900 | avg score: 42.8 | learning_steps: 717
episode: 2000 | avg score: 72.6 | learning_steps: 756
episode: 2100 | avg score: 67.5 | learning_steps: 794
episode: 2200 | avg score: 61.1 | learning_steps: 831
episode: 2300 | avg score: 55.3 | learning_steps: 869
episode: 2400 | avg score: 66.4 | learning_steps: 907
episode: 2500 | avg score: 89.5 | learning_steps: 944
episode: 2600 | avg score: 71.5 | learning_steps: 981
episode: 2700 | avg score: 69.8 | learning_steps: 1019
episode: 2800 | avg score: 17.1 | learning_steps: 1057
episode: 2900 | avg score: -26.8 | learning_steps: 1096
episode: 3000 | avg score: -25.6 | learning_steps: 1135
episode: 3100 | avg score: 16.9 | learning_steps: 1174
episode: 3200 | avg score: 34.1 | learning_steps: 1213
episode: 3300 | avg score: 26.3 | learning_steps: 1251
episode: 3400 | avg score: 37.9 | learning_steps: 1290
episode: 3500 | avg score: 47.8 | learning_steps: 1328
episode: 3600 | avg score: 54.3 | learning_steps: 1366
episode: 3700 | avg score: 82.5 | learning_steps: 1403
episode: 3800 | avg score: 73.1 | learning_steps: 1441
episode: 3900 | avg score: 57.9 | learning_steps: 1479
episode: 4000 | avg score: 47.1 | learning_steps: 1517
episode: 4100 | avg score: 13.0 | learning_steps: 1556
episode: 4200 | avg score: -6.2 | learning_steps: 1595
episode: 4300 | avg score: -8.9 | learning_steps: 1634
episode: 4400 | avg score: -0.7 | learning_steps: 1672
episode: 4500 | avg score: 79.3 | learning_steps: 1710
episode: 4600 | avg score: 75.2 | learning_steps: 1748
episode: 4700 | avg score: 100.4 | learning_steps: 1786
episode: 4800 | avg score: 76.3 | learning_steps: 1823
episode: 4900 | avg score: 74.9 | learning_steps: 1861
episode: 5000 | avg score: 88.5 | learning_steps: 1899
episode: 5100 | avg score: 97.4 | learning_steps: 1936
episode: 5200 | avg score: 89.9 | learning_steps: 1974
episode: 5300 | avg score: 50.5 | learning_steps: 2012
episode: 5400 | avg score: 68.5 | learning_steps: 2050
episode: 5500 | avg score: 102.5 | learning_steps: 2087
episode: 5600 | avg score: 102.9 | learning_steps: 2123
episode: 5700 | avg score: 88.3 | learning_steps: 2160
episode: 5800 | avg score: 58.3 | learning_steps: 2198
episode: 5900 | avg score: 84.6 | learning_steps: 2236
episode: 6000 | avg score: 99.3 | learning_steps: 2273
episode: 6100 | avg score: 71.1 | learning_steps: 2311
episode: 6200 | avg score: 53.2 | learning_steps: 2350
episode: 6300 | avg score: 85.7 | learning_steps: 2387
episode: 6400 | avg score: 87.5 | learning_steps: 2424
episode: 6500 | avg score: 79.0 | learning_steps: 2462
episode: 6600 | avg score: 86.6 | learning_steps: 2500
episode: 6700 | avg score: 106.6 | learning_steps: 2536
episode: 6800 | avg score: 77.4 | learning_steps: 2575
episode: 6900 | avg score: 98.5 | learning_steps: 2612
episode: 7000 | avg score: 75.7 | learning_steps: 2651
episode: 7100 | avg score: 120.2 | learning_steps: 2688
