Running on host: studgpu-node01.inf.ethz.ch
In directory: /cluster/courses/3dv/data/team-25/decentralized_marl/catmouse_experiments
Starting on: Thu Jun 27 16:14:28 CEST 2024
SLURM_JOB_ID: 23191
using cuda
episode: 0 | avg score: 0.0 | learning_steps: 0
episode: 100 | avg score: -47.9 | learning_steps: 38
episode: 200 | avg score: -45.7 | learning_steps: 77
episode: 300 | avg score: -44.2 | learning_steps: 116
episode: 400 | avg score: -46.2 | learning_steps: 155
episode: 500 | avg score: -47.2 | learning_steps: 194
episode: 600 | avg score: -44.4 | learning_steps: 232
episode: 700 | avg score: -47.6 | learning_steps: 271
episode: 800 | avg score: -43.6 | learning_steps: 310
episode: 900 | avg score: -47.6 | learning_steps: 349
episode: 1000 | avg score: -41.8 | learning_steps: 388
episode: 1100 | avg score: -44.8 | learning_steps: 427
episode: 1200 | avg score: -48.4 | learning_steps: 466
episode: 1300 | avg score: -45.9 | learning_steps: 504
episode: 1400 | avg score: -47.2 | learning_steps: 543
episode: 1500 | avg score: -44.8 | learning_steps: 582
episode: 1600 | avg score: -45.7 | learning_steps: 621
episode: 1700 | avg score: -43.7 | learning_steps: 659
episode: 1800 | avg score: -48.8 | learning_steps: 698
episode: 1900 | avg score: -46.6 | learning_steps: 737
episode: 2000 | avg score: -46.7 | learning_steps: 776
episode: 2100 | avg score: -44.4 | learning_steps: 814
episode: 2200 | avg score: -42.1 | learning_steps: 853
episode: 2300 | avg score: -45.1 | learning_steps: 892
episode: 2400 | avg score: -44.2 | learning_steps: 931
episode: 2500 | avg score: -47.3 | learning_steps: 970
episode: 2600 | avg score: -47.1 | learning_steps: 1009
episode: 2700 | avg score: -45.1 | learning_steps: 1047
episode: 2800 | avg score: -44.7 | learning_steps: 1086
episode: 2900 | avg score: -44.0 | learning_steps: 1125
episode: 3000 | avg score: -46.8 | learning_steps: 1163
episode: 3100 | avg score: -43.7 | learning_steps: 1202
episode: 3200 | avg score: -45.4 | learning_steps: 1241
episode: 3300 | avg score: -46.0 | learning_steps: 1280
episode: 3400 | avg score: -47.1 | learning_steps: 1319
episode: 3500 | avg score: -46.1 | learning_steps: 1358
episode: 3600 | avg score: -41.5 | learning_steps: 1397
episode: 3700 | avg score: -44.0 | learning_steps: 1435
episode: 3800 | avg score: -44.7 | learning_steps: 1474
episode: 3900 | avg score: -40.4 | learning_steps: 1513
episode: 4000 | avg score: -45.8 | learning_steps: 1552
episode: 4100 | avg score: -47.0 | learning_steps: 1591
episode: 4200 | avg score: -44.7 | learning_steps: 1630
episode: 4300 | avg score: -46.4 | learning_steps: 1669
episode: 4400 | avg score: -46.9 | learning_steps: 1708
episode: 4500 | avg score: -45.7 | learning_steps: 1746
episode: 4600 | avg score: -43.3 | learning_steps: 1785
