,score
0,-20
1,-20
2,-20
3,20
4,-80
5,-20
6,-20
7,-20
8,-20
9,-40
10,-20
11,-40
12,-40
13,0
14,-20
15,-20
16,20
17,0
18,-20
19,-40
20,-60
21,-40
22,-60
23,20
24,0
25,-20
26,-20
27,-60
28,0
29,-60
30,-60
31,-60
32,-40
33,-20
34,-20
35,20
36,-40
37,-20
38,-20
39,20
40,20
41,0
42,0
43,-40
44,0
45,-40
46,-60
47,-60
48,-20
49,-20
50,-40
51,-60
52,0
53,0
54,-60
55,-80
56,-20
57,-60
58,-20
59,-20
60,-40
61,-40
62,20
63,-60
64,0
65,-100
66,-40
67,-60
68,-40
69,-40
70,0
71,-20
72,-20
73,-40
74,0
75,0
76,0
77,-40
78,-20
79,-40
80,20
81,-60
82,-20
83,-40
84,0
85,-20
86,-40
87,-40
88,-20
89,-20
90,0
91,-40
92,-40
93,-40
94,-60
95,-40
96,-20
97,-60
98,-20
99,-20
100,-40
101,-60
102,-20
103,-40
104,-80
105,-40
106,0
107,-20
108,0
109,-40
110,-40
111,0
112,-40
113,-60
114,20
115,-60
116,-20
117,-60
118,-40
119,-40
120,-60
121,0
122,0
123,-20
124,-60
125,-40
126,-40
127,-80
128,-20
129,-60
130,-60
131,-20
132,-40
133,-20
134,-80
135,-20
136,-80
137,-40
138,0
139,20
140,0
141,-40
142,-60
143,-60
144,-40
145,-20
146,-40
147,-80
148,20
149,20
150,-80
151,-60
152,0
153,-20
154,-40
155,40
156,-20
157,-20
158,-40
159,-40
160,-60
161,-20
162,-60
163,-40
164,-40
165,-40
166,-40
167,-40
168,-60
169,-20
170,20
171,-20
172,40
173,-40
174,-100
175,-20
176,-60
177,-40
178,-40
179,-60
180,20
181,20
182,-20
183,-40
184,-80
185,-40
186,0
187,-20
188,0
189,-60
190,20
191,40
192,0
193,0
194,-40
195,-20
196,-60
197,20
198,-20
199,-60
200,-80
201,-20
202,-60
203,-40
204,0
205,-20
206,-40
207,-20
208,-40
209,-40
210,-60
211,-40
212,-20
213,-40
214,-20
215,-20
216,-40
217,0
218,-40
219,-40
220,-60
221,40
222,-40
223,-60
224,-20
225,20
226,-40
227,-40
228,-20
229,-20
230,-20
231,-60
232,-40
233,-40
234,-60
235,-60
236,-40
237,-20
238,-40
239,-80
240,0
241,-60
242,-40
243,-20
244,-100
245,-40
246,-60
247,-60
248,-40
249,-80
250,-20
251,-40
252,-40
253,-20
254,-80
255,-100
256,-100
257,-60
258,-80
259,-40
260,-20
261,-100
262,-60
263,-40
264,20
265,-40
266,-20
267,-60
268,20
269,-80
270,-40
271,-80
272,-100
273,-80
274,-40
275,-40
276,-80
277,0
278,-40
279,-60
280,-60
281,-80
282,-40
283,-60
284,-40
285,0
286,-60
287,-20
288,-60
289,0
290,-20
291,-60
292,-60
293,-40
294,-80
295,0
296,0
297,-40
298,-60
299,0
300,-40
301,-40
302,-80
303,-60
304,-20
305,20
306,0
307,-80
308,-80
309,-20
310,-80
311,-60
312,-40
313,-20
314,-60
315,-20
316,-80
317,-20
318,0
319,-40
320,-80
321,0
322,-20
323,-40
324,-20
325,-80
326,-60
327,-40
328,-20
329,-20
330,20
331,-40
332,-60
333,-60
334,-40
335,-60
336,-40
337,-40
338,-60
339,-40
340,20
341,-60
342,-40
343,-40
344,-20
345,-20
346,-20
347,-80
348,-40
349,-40
350,-40
351,-80
352,0
353,-60
354,-40
355,-40
356,-60
357,0
358,-40
359,-20
360,-40
361,20
362,-60
363,-20
364,-60
365,-40
366,0
367,-40
368,-40
369,-80
370,-40
371,-20
372,-40
373,0
374,-60
375,0
376,-60
377,-20
378,-40
379,0
380,-20
381,0
382,-40
383,-80
384,-40
385,-40
386,-80
387,0
388,-40
389,-60
390,-40
391,-40
392,-60
393,-60
394,0
395,-40
396,-60
397,0
398,-20
399,0
400,-20
401,40
402,-60
403,-40
404,-40
405,-20
406,-40
407,-20
408,40
409,-40
410,20
411,-80
412,0
413,0
414,-40
415,-60
416,-20
417,-20
418,-40
419,-60
420,-20
421,-40
422,0
423,-20
424,20
425,-20
426,-60
427,-60
428,20
429,-40
430,20
431,-20
432,-40
433,-40
434,20
435,0
436,-20
437,-40
438,-20
439,-40
440,-20
441,0
442,-80
443,-40
444,-40
445,-40
446,-60
447,-20
448,-20
449,20
450,-20
451,-20
452,-40
453,-100
454,-40
455,0
456,-40
457,-80
458,-40
459,-100
460,-20
461,-60
462,-40
463,20
464,-20
465,-40
466,-20
467,20
468,-60
469,-40
470,0
471,-40
472,0
473,-60
474,0
475,0
476,-20
477,-20
478,0
479,-40
480,20
481,-20
482,-40
483,-40
484,-80
485,-40
486,0
487,-20
488,0
489,-40
490,-60
491,-60
492,-20
493,-20
494,0
495,-20
496,0
497,-60
498,-40
499,0
500,0
501,-100
502,0
503,-40
504,-40
505,-20
506,-20
507,-40
508,-20
509,-20
510,-60
511,-40
512,-20
513,-80
514,-80
515,20
516,-20
517,-60
518,-20
519,-20
520,0
521,-20
522,-40
523,-40
524,-20
525,-20
526,-40
527,-40
528,-20
529,-20
530,-20
531,0
532,0
533,-40
534,-80
535,-40
536,-40
537,-40
538,-20
539,-80
540,-80
541,-80
542,-60
543,0
544,-60
545,-60
546,-20
547,-20
548,-60
549,0
550,-40
551,0
552,-60
553,-40
554,-40
555,-20
556,0
557,-60
558,-60
559,-40
560,-40
561,-20
562,0
563,-40
564,0
565,-60
566,-20
567,0
568,-60
569,-40
570,-20
571,-80
572,-20
573,0
574,-20
575,-80
576,-80
577,-40
578,-40
579,-40
580,-40
581,-40
582,-20
583,20
584,-20
585,-60
586,0
587,-40
588,-40
589,-20
590,-60
591,-20
592,-60
593,-40
594,-20
595,-60
596,-40
597,-40
598,-40
599,-20
600,-40
601,0
602,-20
603,-40
604,-80
605,-40
606,-60
607,0
608,0
609,-20
610,-40
611,-20
612,0
613,0
614,-20
615,-60
616,-40
617,-20
618,-20
619,20
620,-60
621,40
622,20
623,-20
624,-40
625,-20
626,0
627,-60
628,-100
629,0
630,-20
631,20
632,-40
633,-20
634,-20
635,-20
636,64
637,0
638,-60
639,-20
640,-20
641,-20
642,-60
643,20
644,-40
645,0
646,-40
647,-100
648,-60
649,-20
650,-40
651,-40
652,-20
653,-100
654,-20
655,-20
656,-20
657,20
658,-40
659,0
660,-40
661,0
662,20
663,-60
664,0
665,0
666,-20
667,-20
668,0
669,-40
670,-20
671,20
672,-40
673,-40
674,-40
675,-60
676,-80
677,-40
678,-40
679,-80
680,20
681,-80
682,0
683,-20
684,-20
685,-20
686,0
687,20
688,0
689,-20
690,-40
691,-80
692,0
693,-60
694,-20
695,-80
696,-60
697,-40
698,20
699,-20
700,-40
701,20
702,-20
703,-40
704,0
705,20
706,-40
707,-60
708,-80
709,0
710,-60
711,-40
712,0
713,0
714,0
715,-20
716,0
717,-20
718,-60
719,-100
720,-40
721,-40
722,-60
723,0
724,-40
725,-40
726,-20
727,0
728,-40
729,0
730,0
731,-40
732,-80
733,-20
734,-20
735,-60
736,-60
737,0
738,20
739,-80
740,-20
741,-60
742,0
743,-40
744,-40
745,-20
746,-60
747,-20
748,-20
749,-20
750,-40
751,-40
752,-60
753,-60
754,-100
755,-40
756,-40
757,0
758,-20
759,20
760,0
761,-40
762,-20
763,0
764,-20
765,-20
766,-40
767,-40
768,-60
769,-60
770,-80
771,-40
772,-40
773,20
774,-60
775,-20
776,-60
777,0
778,0
779,-80
780,-20
781,-60
782,-40
783,-20
784,0
785,-80
786,20
787,-40
788,20
789,-20
790,-20
791,-20
792,-40
793,-80
794,0
795,-80
796,-60
797,-60
798,-80
799,-20
800,-40
801,-80
802,-60
803,-20
804,-60
805,-60
806,-80
807,0
808,-80
809,-80
810,-60
811,20
812,-40
813,-40
814,-40
815,-40
816,-40
817,-60
818,-40
819,-40
820,-20
821,-100
822,0
823,-60
824,-40
825,-20
826,-40
827,-20
828,-60
829,0
830,-40
831,-20
832,-20
833,-40
834,-20
835,40
836,-20
837,-40
838,0
839,40
840,-60
841,-20
842,0
843,-20
844,-60
845,-20
846,-20
847,0
848,-80
849,0
850,0
851,-40
852,-40
853,-40
854,20
855,-40
856,-20
857,-40
858,-40
859,-40
860,-20
861,-80
862,-60
863,40
864,-20
865,-60
866,-40
867,20
868,-60
869,-40
870,0
871,0
872,-60
873,-20
874,0
875,0
876,0
877,-60
878,-60
879,-60
880,-40
881,-60
882,-40
883,-20
884,-80
885,-20
886,-60
887,-20
888,0
889,-60
890,-20
891,-40
892,20
893,-60
894,-80
895,-40
896,0
897,-20
898,0
899,-40
900,-60
901,-40
902,0
903,-20
904,-20
905,-40
906,-60
907,-40
908,-80
909,-60
910,-20
911,-60
912,0
913,-40
914,-40
915,-40
916,0
917,40
918,0
919,-80
920,0
921,-20
922,-80
923,-40
924,-40
925,-20
926,-60
927,-60
928,-60
929,-60
930,-20
931,20
932,-40
933,-40
934,-40
935,0
936,-100
937,-40
938,0
939,-60
940,40
941,-40
942,-60
943,-80
944,-60
945,-40
946,-20
947,20
948,-20
949,0
950,-60
951,-60
952,-40
953,0
954,-20
955,-40
956,-100
957,-20
958,-40
959,-60
960,-20
961,0
962,-40
963,-20
964,-40
965,-80
966,0
967,-40
968,20
969,0
970,-40
971,-20
972,-20
973,-20
974,-20
975,-80
976,0
977,0
978,-20
979,-40
980,0
981,-40
982,-20
983,-40
984,20
985,40
986,-40
987,20
988,-40
989,0
990,-40
991,-20
992,-40
993,-20
994,-80
995,-20
996,-40
997,-60
998,-20
999,0
