,score
0,-40
1,-40
2,-40
3,-20
4,-20
5,-40
6,-20
7,-100
8,20
9,-20
10,-80
11,-40
12,-20
13,-40
14,-20
15,20
16,-80
17,-60
18,-20
19,-60
20,-80
21,0
22,-80
23,-40
24,-20
25,-40
26,-80
27,-20
28,-60
29,-20
30,-80
31,0
32,0
33,-20
34,-60
35,-40
36,-20
37,-40
38,-80
39,-60
40,-60
41,-40
42,-80
43,-20
44,0
45,-60
46,-80
47,-60
48,-60
49,-40
50,-40
51,-40
52,-60
53,0
54,-20
55,-40
56,-20
57,-20
58,-20
59,-20
60,20
61,-20
62,-80
63,-60
64,-20
65,-40
66,-60
67,0
68,-20
69,-40
70,-60
71,-40
72,20
73,-80
74,-40
75,-40
76,0
77,-60
78,0
79,-80
80,-60
81,-60
82,-80
83,-60
84,-60
85,-40
86,-20
87,-20
88,-60
89,-60
90,-60
91,-20
92,-40
93,-60
94,-60
95,-40
96,20
97,0
98,-60
99,-80
100,-80
101,0
102,-40
103,-40
104,20
105,-40
106,20
107,-20
108,-20
109,-20
110,-80
111,-60
112,-60
113,0
114,-40
115,-20
116,-40
117,-60
118,40
119,0
120,-80
121,0
122,-60
123,-40
124,-60
125,-60
126,-60
127,-100
128,-100
129,0
130,-40
131,0
132,-20
133,-40
134,-40
135,-40
136,-80
137,-80
138,-60
139,-60
140,-20
141,-20
142,-100
143,-40
144,-40
145,-40
146,0
147,40
148,-80
149,-60
150,-60
151,-20
152,-100
153,-40
154,-20
155,-60
156,-60
157,-20
158,-60
159,-80
160,-40
161,-40
162,-60
163,0
164,-60
165,-60
166,-40
167,0
168,-80
169,-20
170,0
171,-80
172,-20
173,-20
174,-80
175,20
176,0
177,60
178,-40
179,-100
180,-80
181,40
182,-40
183,0
184,20
185,0
186,-20
187,-20
188,-40
189,-20
190,-60
191,40
192,-40
193,-20
194,-20
195,-60
196,0
197,-20
198,0
199,0
200,-80
201,-60
202,-40
203,0
204,-100
205,-60
206,-20
207,-20
208,-60
209,0
210,0
211,-20
212,-40
213,-80
214,-40
215,-100
216,-80
217,-40
218,-40
219,-40
220,-20
221,-60
222,-40
223,-80
224,-40
225,-20
226,-40
227,-40
228,-60
229,-60
230,-40
231,60
232,-40
