,score
0,-40
1,-20
2,0
3,-60
4,-80
5,-60
6,-60
7,0
8,-40
9,-40
10,-20
11,-40
12,-60
13,0
14,78
15,-20
16,-60
17,-40
18,-20
19,-20
20,-60
21,-60
22,-20
23,-20
24,-60
25,-40
26,-40
27,-60
28,-60
29,-20
30,-60
31,-40
32,-20
33,-40
34,-40
35,-60
36,-60
37,-20
38,-60
39,-20
40,-60
41,-20
42,-40
43,-40
44,-20
45,0
46,-40
47,-20
48,-60
49,-20
50,-40
51,-40
52,-20
53,-60
54,0
55,-60
56,-80
57,-40
58,-20
59,-20
60,-40
61,-40
62,-80
63,-80
64,0
65,-40
66,0
67,-20
68,-20
69,-20
70,-40
71,0
72,-40
73,-40
74,-20
75,-60
76,0
77,0
78,-40
79,-20
80,-80
81,-60
82,0
83,-40
84,0
85,-60
86,-20
87,-60
88,-40
89,-100
90,-60
91,-40
92,-60
93,-40
94,-40
95,-40
96,-20
97,-20
98,-40
99,-40
100,-80
101,-80
102,-20
103,-20
104,-60
105,0
106,-60
107,-60
108,-40
109,-20
110,-40
111,-40
112,-40
113,0
114,-20
115,-20
116,-60
117,-60
118,-40
119,-40
120,-60
121,-40
122,-60
123,-40
124,-20
125,-60
126,0
127,-40
128,0
129,-60
130,-100
131,0
132,-20
133,-40
134,-20
135,-60
136,0
137,-20
138,-40
139,0
140,-40
141,-20
142,-40
143,-80
144,-40
145,0
146,-20
147,-60
148,-40
149,-60
150,-60
151,-60
152,0
153,-40
154,-20
155,-20
156,-40
157,-20
158,-20
159,-20
160,0
161,-60
162,-40
163,-20
164,-40
165,-20
166,-40
167,-40
168,-80
169,-20
170,-80
171,-40
172,-20
173,-20
174,-20
175,-40
176,-80
177,-40
178,-20
179,-60
180,-20
181,-40
182,-60
183,0
184,-20
185,42
186,-20
187,-20
188,0
189,0
190,-60
191,-20
192,-40
193,-20
194,-40
195,-80
196,-80
197,-20
198,-60
199,-60
200,-40
201,-60
202,-40
203,-20
204,-40
205,-60
206,-80
207,-40
208,-40
209,0
210,-40
211,-60
212,-40
213,-60
214,-40
215,-40
216,-80
217,-100
218,-60
219,-60
220,-80
221,-20
222,-40
223,-80
224,-20
225,-40
226,-80
227,-20
228,-80
229,-20
230,-40
231,0
232,-40
233,-40
234,-40
235,-60
236,-80
237,-40
238,-40
239,-40
240,-20
241,-60
242,-20
243,-40
244,-40
245,-40
246,-20
247,-40
248,-40
249,-40
250,-60
251,-40
252,0
253,-20
254,-20
255,-60
256,-80
257,-60
258,-40
259,-20
260,-20
261,-80
262,-60
263,-80
264,-60
265,-40
266,-40
267,-20
268,0
269,-20
270,-20
271,0
272,-60
273,-40
274,-40
275,-40
276,-40
277,-60
278,0
279,0
280,0
281,-20
282,-40
283,-80
284,-20
285,-40
286,-20
287,-60
288,-20
289,-40
290,-40
291,-60
292,-60
293,-40
294,-60
295,-40
296,-40
297,-20
298,-40
299,-60
300,-40
301,0
302,-40
303,-60
304,-20
305,-20
306,-60
307,-40
308,0
309,-40
310,-40
311,-40
312,-40
313,0
314,-20
315,-40
316,-40
317,-60
318,-40
319,-40
320,-20
321,-40
322,-40
323,-40
324,-60
325,-60
326,-40
327,-60
328,-40
329,-40
330,-60
331,-20
332,-60
333,-20
334,-20
335,-20
336,-80
337,-20
338,-20
339,-40
340,-40
341,-40
342,-80
343,-40
344,-40
345,-40
346,-40
347,0
348,-40
349,-20
350,-40
351,-60
352,-20
353,-60
354,0
355,-80
356,-40
357,-60
358,-60
359,-60
360,-40
361,-60
362,-20
363,-40
364,-40
365,-60
366,-80
367,-20
368,-40
369,-20
370,-40
371,-20
372,-20
373,-20
374,-40
375,32
376,-60
377,-20
378,-40
379,-60
380,34
381,0
382,-20
383,-20
384,0
385,-20
386,0
387,-80
388,-20
389,60
390,-40
391,-80
392,-20
393,-20
394,-40
395,-20
396,-60
397,-40
398,0
399,-40
400,-20
401,-40
402,-20
403,-40
404,26
405,-20
406,-60
407,-40
408,-40
409,-20
410,-40
411,-20
412,-40
413,52
414,-20
415,-40
416,-20
417,-20
418,-80
419,-40
420,-40
421,-20
422,-40
423,-40
424,-60
425,-40
426,-20
427,-80
428,-40
429,-80
430,44
431,-100
432,-40
433,-40
434,-40
435,-40
436,-60
437,-80
438,-40
439,-40
440,-60
441,-80
442,0
443,-20
444,-40
445,-20
446,-20
447,-20
448,-20
449,-20
450,0
451,-20
452,-80
453,-20
454,-60
455,0
456,-40
457,-40
458,-60
459,-60
460,-60
461,-40
462,-60
463,-20
464,-40
465,0
466,-40
467,0
468,-60
469,-40
470,-80
471,-40
472,-40
473,-100
474,-20
475,-60
476,-40
477,-40
478,-20
479,-40
480,-40
481,-60
482,-60
483,-80
484,-40
485,-40
486,-40
487,-60
488,-60
489,-60
490,-60
491,-60
492,-20
493,-60
494,0
495,-40
496,-40
497,0
498,0
499,-40
500,-20
501,-20
502,-60
503,-40
504,-60
505,0
506,0
507,-20
508,-80
509,-20
510,-20
511,-40
512,-60
513,-20
514,-80
515,-40
516,-20
517,-20
518,-20
519,-40
520,-20
521,-40
522,-20
523,-40
524,-40
525,-20
526,-80
527,0
528,-40
529,-20
530,-20
531,-20
532,-20
533,-40
534,-40
535,-60
536,-20
537,-20
538,-40
539,0
540,-40
541,-60
542,-40
543,-20
544,-60
545,0
546,0
547,-40
548,-40
549,-20
550,-40
551,0
552,-60
553,24
554,-60
555,36
556,-20
557,-40
558,-40
559,-60
560,-40
561,-40
562,-60
563,-60
564,-40
565,-40
566,-40
567,0
568,-40
569,-40
570,-40
571,-40
572,-40
573,-20
574,0
575,-40
576,-60
577,0
578,-20
579,22
580,-40
581,-40
582,0
583,-40
584,-60
585,-20
586,-40
587,-40
588,-60
589,-60
590,-40
591,-20
592,-20
593,-20
594,-40
595,60
596,-60
597,-40
598,-60
599,-40
600,-40
601,-100
602,-20
603,-60
604,0
605,-20
606,-40
607,-40
608,62
609,-20
610,0
611,-40
612,-20
613,-60
614,0
615,-60
616,-40
617,-40
618,-40
619,-20
620,-40
621,-60
622,-20
623,-40
624,-20
625,-20
626,-60
627,0
628,-20
629,0
630,-80
631,-80
632,-40
633,0
634,-20
635,-20
636,-40
637,-60
638,-40
639,-40
640,-20
641,-20
642,-40
643,-60
644,-40
645,0
646,-40
647,-60
648,-40
649,-60
650,-40
651,-40
652,0
653,-60
654,-40
655,-20
656,-20
657,0
658,-20
659,-80
660,-40
661,-20
662,-60
663,-40
664,-20
665,-60
666,-40
667,0
668,-20
669,-40
670,0
671,0
672,-40
673,-20
674,-80
675,-60
676,-40
677,0
678,-40
679,-20
680,-80
681,-60
682,-40
683,0
684,-40
685,-60
686,-60
687,-20
688,-20
689,0
690,-40
691,-80
692,-40
693,-80
694,-60
695,-40
696,-60
697,-20
698,-40
699,-40
700,-60
701,-20
702,-40
703,-60
704,0
705,-20
706,-40
707,30
708,-20
709,-40
710,-20
711,-40
712,-20
713,-40
714,-40
715,-40
716,0
717,-20
718,-40
719,-40
720,0
721,-60
722,60
723,-80
724,-20
725,-40
726,-40
727,0
728,-20
729,-60
730,-40
731,0
732,-40
733,-20
734,-20
735,-20
736,-40
737,-40
738,-20
739,0
740,0
741,-20
742,0
743,0
744,-20
745,-20
746,0
747,-40
748,-60
749,82
750,-60
751,-20
752,-20
753,-40
754,0
755,-40
756,-20
757,-20
758,-20
759,-80
760,-20
761,-20
762,-40
763,0
764,-20
765,-80
766,-20
767,-20
768,-80
769,-40
770,-40
771,-40
772,-60
773,0
774,-20
775,-20
776,-40
777,-40
778,-20
779,-60
780,-20
781,-20
782,-40
783,66
784,-40
785,-40
786,-60
787,0
788,-20
789,-40
790,0
791,-60
792,-40
793,-60
794,-40
795,-60
796,-20
797,-20
798,-20
799,-40
800,-60
801,-60
802,56
803,-40
804,-60
805,-80
806,-60
807,-20
808,-60
809,-100
810,-60
811,80
812,-40
813,-20
814,68
815,-80
816,0
817,70
818,-40
819,-60
820,-80
821,-20
822,0
823,-40
824,-40
825,-60
826,-40
827,-60
828,-20
829,-20
830,-20
831,0
832,-20
833,-80
834,-20
835,0
836,-40
837,-40
838,-60
839,-40
840,-80
841,-40
842,-40
843,-20
844,0
845,-40
846,-80
847,-20
848,-20
849,0
850,-20
851,-40
852,0
853,0
854,-20
855,-40
856,-20
857,-40
858,-40
859,-80
860,0
861,-20
862,-60
863,0
864,-40
865,-60
866,-40
867,-20
868,-40
869,0
870,-40
871,-40
872,-60
873,-40
874,-40
875,-60
876,0
877,-40
878,-40
879,-40
880,0
881,-60
882,-40
883,-40
884,-60
885,-40
886,-60
887,-20
888,-60
889,-40
890,-40
891,-60
892,0
893,-20
894,0
895,-60
896,-40
897,-20
898,-40
899,-20
900,-60
901,-40
902,-60
903,-20
904,-40
905,-40
906,-60
