Episodes,Reward
25,-47.48202065034042
5025,-57.86426781526907
10025,-60.86407025154869
15025,-37.34004029517764
20025,-37.406412363467155
25025,-51.8168021646241
30025,-39.54585875005505
35025,-25.11325302084883
40025,-47.31861348130763
45025,-42.80849369431233
50025,-37.70433635987564
55025,-29.655233234027193
60025,-34.29844664021033
65025,-21.842809631035976
70025,-34.59283410305123
75025,-33.26596518135635
80025,-23.840406405276916
85025,-35.15651346272549
90025,-32.3136190060965
95025,-63.438317191443026
100025,-32.2878362941632
105025,-26.24410828019807
110025,-23.208927025806513
115025,-29.738109158706354
120025,-38.81990704096492
125025,-27.60847933079332
130025,-51.71613210740864
135025,-31.596312911860686
140025,-34.72650383770079
145025,-23.844166822558037
150025,-45.53134794093381
155025,-48.34363208026724
160025,-24.815560899308487
165025,-56.74774355922412
170025,-43.08283874373661
175025,-37.719987230086396
180025,-29.93623530083022
185025,-29.657005340491825
190025,-18.455901034918767
195025,-32.92423198019612
200025,-36.25340879964793
205025,-20.561972010200527
210025,-69.92567218394159
215025,-44.49121493534342
220025,-45.176539392902626
225025,-51.81459215482424
230025,-45.435935823385364
235025,-34.73430981196995
240025,-24.022949051091953
245025,-33.8319057575759
