,score
0,0
1,-20
2,0
3,0
4,-40
5,-40
6,-20
7,-40
8,-100
9,0
10,-80
11,-40
12,-20
13,-20
14,-40
15,-60
16,-60
17,-40
18,-40
19,20
20,-20
21,-60
22,-20
23,-20
24,-60
25,0
26,-40
27,-40
28,-40
29,0
30,-80
31,-40
32,-20
33,-40
34,-60
35,-80
36,-60
37,-20
38,0
39,-20
40,-60
41,0
42,-40
43,0
44,-20
45,-20
46,-40
47,-40
48,-20
49,-20
50,-60
51,-40
52,-80
53,-80
54,-60
55,-40
56,-60
57,-40
58,20
59,-40
60,-40
61,-40
62,-40
63,-20
64,-60
65,-40
66,-40
67,-40
68,-60
69,-40
70,-40
71,-40
72,-40
73,-40
74,-60
75,0
76,20
77,0
78,-20
79,0
80,0
81,-20
82,-60
83,-40
84,-40
85,-80
86,-40
87,-40
88,-20
89,-40
90,-20
91,-20
92,0
93,20
94,-40
95,-20
96,0
97,-20
98,-40
99,-60
100,-20
101,-40
102,-80
103,-20
104,0
105,-60
106,-40
107,0
108,0
109,-40
110,0
111,20
112,-20
113,-80
114,-20
115,-20
116,0
117,-20
118,-40
119,0
120,20
121,-40
122,-20
123,-40
124,0
125,0
126,-20
127,-60
128,-60
129,20
130,-80
131,-60
132,40
133,-60
134,-80
135,-20
136,-20
137,-40
138,-40
139,-80
140,-80
141,-40
142,-60
143,-60
144,-40
145,-40
146,-100
147,-20
148,-20
149,-20
150,20
151,-40
152,-40
153,0
154,-80
155,-20
156,-60
157,-60
158,40
159,-20
160,-40
161,-40
162,-40
163,-20
164,-80
165,-60
166,-20
167,-60
168,-40
169,-60
170,0
171,20
172,-40
173,-40
174,-40
175,-20
176,-40
177,-60
178,20
179,66
180,-60
181,-40
182,-20
183,-80
184,-40
185,0
186,-40
187,0
188,0
189,-80
190,-20
191,-40
192,-60
193,20
194,-20
195,-20
196,-80
197,0
198,-80
199,-40
200,-80
201,0
202,40
203,40
204,-40
205,-20
206,-60
207,-40
208,-80
