,score
0,-80
1,-60
2,40
3,-20
4,-60
5,-20
6,0
7,-40
8,-40
9,0
10,-20
11,-40
12,-40
13,-40
14,0
15,-80
16,0
17,0
18,-40
19,-20
20,-20
21,-60
22,-40
23,0
24,-60
25,20
26,-40
27,-60
28,-20
29,20
30,20
31,-40
32,-40
33,-20
34,-60
35,-60
36,-60
37,0
38,0
39,-20
40,-40
41,-20
42,-20
43,40
44,-80
45,-40
46,-60
47,-60
48,0
49,20
50,-20
51,-60
52,-40
53,-40
54,-40
55,-40
56,0
57,0
58,0
59,-40
60,-40
61,-40
62,-20
63,-20
64,40
65,0
66,-20
67,0
68,0
69,-80
70,-60
71,-60
72,-40
73,-40
74,0
75,-20
76,-40
77,-40
78,-20
79,-60
80,-40
81,0
82,-80
83,-40
84,-40
85,-20
86,40
87,-20
88,0
89,0
90,-80
91,-60
92,0
93,0
94,-40
95,-40
96,0
97,40
98,-40
99,-60
100,-60
101,-40
102,0
103,-20
104,-40
105,-40
106,0
107,-20
108,-20
109,-40
110,-20
111,-40
112,-40
113,-20
114,-20
115,0
116,-40
117,-20
118,-20
119,-40
120,-20
121,-20
122,-60
123,-20
124,-40
125,-60
126,-60
127,-20
128,-60
129,0
130,0
131,-20
132,20
133,0
134,-60
135,0
136,-60
137,-20
138,-20
139,-40
140,0
141,-20
142,0
143,-40
144,-60
145,-40
146,20
147,20
148,-60
149,-20
150,-40
151,-60
152,-40
153,-60
154,-60
155,-40
156,-20
157,0
158,-40
159,40
160,-80
161,-40
162,-20
163,-40
164,-60
165,-20
166,0
167,-40
168,-60
169,-80
170,-60
171,0
172,-60
173,-20
174,-40
175,-80
176,0
177,-20
178,20
179,20
180,-40
181,-80
182,-20
183,-100
184,-20
185,-40
186,-40
187,0
188,-20
189,-60
190,-20
191,-20
192,-20
193,-40
194,-60
195,-100
196,-40
197,-60
198,20
199,-40
200,-100
201,-80
202,-20
203,-40
204,-20
205,-40
206,-40
207,-40
208,-40
209,-40
210,-20
211,-40
212,-20
213,-80
214,20
215,-40
216,-40
217,-40
218,-20
219,-20
220,-20
221,-40
222,-20
223,0
224,-40
225,0
226,-80
227,-20
228,-60
229,20
230,20
231,0
232,-20
233,-60
234,0
235,0
236,0
237,-20
238,-60
239,-20
240,-20
241,-20
242,20
243,20
244,-40
245,-20
246,0
247,-60
248,0
249,-60
250,0
251,-40
252,0
253,-40
254,-40
255,-20
256,-40
257,0
258,-60
259,-40
260,0
261,-20
262,0
263,-60
264,0
265,-40
266,-40
267,-80
268,0
269,-60
270,-40
271,20
272,-40
273,-40
274,0
275,0
276,-40
277,-40
278,-80
279,-60
280,-60
281,-20
282,-100
283,-20
284,-20
285,-20
286,-20
287,-60
288,-40
289,-20
290,-60
291,-20
292,-40
293,0
294,-20
295,-20
296,-20
297,0
298,-60
299,-40
300,-80
301,-20
302,-80
303,-20
304,-40
305,-80
306,-20
307,20
308,-60
309,-60
310,-20
311,-20
312,20
313,-40
314,-20
315,-40
316,-40
317,-40
318,0
319,20
320,-40
321,-60
322,0
323,-40
324,-80
325,-40
326,-20
327,-20
328,-20
329,-60
330,-60
331,0
332,0
333,-20
334,-60
335,-20
336,-20
337,0
338,-40
339,-20
340,-20
341,-20
342,-40
343,-20
344,0
345,-60
346,0
347,0
348,-40
349,20
350,-60
351,-20
352,0
353,40
354,-60
355,0
356,20
357,20
358,-40
359,-80
360,-60
361,-20
362,-60
363,-40
364,-80
365,-20
366,40
367,-20
368,-20
369,-100
370,-40
371,20
372,40
373,-100
374,0
375,-40
376,-20
377,0
378,-20
379,-20
380,-40
381,-20
382,-60
383,-40
384,-40
385,-20
386,20
387,-40
388,-60
389,-20
390,-60
391,0
392,-40
393,-60
394,0
395,-20
396,-40
397,-20
398,-80
399,-40
400,-40
401,0
402,-60
403,0
404,-40
405,-60
406,-20
407,-60
408,0
409,0
410,-20
411,-40
412,0
413,0
414,20
415,-20
416,-40
417,-20
418,20
419,-20
420,-60
421,-20
422,0
423,-40
424,-80
425,-40
426,20
427,20
428,0
429,-60
430,-20
431,-40
432,-20
433,-40
434,-20
435,-80
436,-20
437,-40
438,-60
439,-60
440,-60
441,0
442,-60
443,0
444,-60
445,-80
446,-40
447,-40
448,-40
449,-60
450,-40
451,0
452,20
453,0
454,-20
455,-40
456,0
457,-20
458,20
459,-40
460,0
461,-40
462,-20
463,-20
464,-60
465,0
466,-80
467,-40
468,-60
469,-60
470,20
471,-40
472,-20
473,20
474,0
475,-80
476,-60
477,0
478,-80
479,-20
480,0
481,0
482,-20
483,-60
484,-40
485,-60
486,0
487,-20
488,-40
489,-20
490,-40
491,-60
492,-60
493,-80
494,0
495,0
496,20
497,-20
498,-20
499,-20
500,-20
501,0
502,-40
503,-40
504,-20
505,-20
506,-40
507,-40
508,-20
509,-20
510,-20
511,-20
512,-60
513,20
514,-40
515,0
516,-40
517,0
518,-80
519,-40
520,-20
521,0
522,-60
523,40
524,-60
525,0
526,-40
527,-20
528,20
529,0
530,-20
531,-60
532,0
533,-20
534,-40
535,-20
536,-60
537,-20
538,-40
539,-20
540,0
541,40
542,-60
543,-20
544,-80
545,-60
546,-40
547,-20
548,-20
549,0
550,20
551,-40
552,-40
553,-100
554,-60
555,40
556,-40
557,-20
558,-60
559,0
560,20
561,-20
562,-40
563,20
564,0
565,-60
566,-20
567,-20
568,-40
569,0
570,-20
571,-20
572,-40
573,0
574,-80
575,0
576,0
577,-40
578,-80
579,-80
580,-60
581,-40
582,20
583,-20
584,-40
585,-40
586,-20
587,-60
588,0
589,-20
590,-40
591,0
592,0
593,0
594,0
595,40
596,20
597,-20
598,0
599,-20
600,-40
601,-60
602,-40
603,0
604,-20
605,-20
606,-20
607,-20
608,-40
609,-40
610,-80
611,-60
612,-40
613,-20
614,-20
615,-20
616,-60
617,-60
618,-80
619,-40
620,-20
621,0
622,-40
623,-20
624,-20
625,-20
626,-40
627,-20
628,-60
629,20
630,-60
631,0
632,-60
633,-20
634,20
635,0
636,0
637,-20
638,0
639,0
640,-20
641,-40
642,-60
643,-20
644,-40
645,40
646,-60
647,-20
648,-40
649,-20
650,20
651,-60
652,-40
653,-60
654,-40
655,-40
656,-20
657,0
658,0
659,-20
660,-20
661,0
662,20
663,-60
664,-20
665,0
666,-40
667,-20
668,-20
669,0
670,-80
671,-40
672,-20
673,-20
674,-40
675,20
676,-40
677,-60
678,-20
679,20
680,-40
681,0
682,-40
683,-60
684,-20
685,0
686,-60
687,-20
688,-80
689,20
690,-20
691,-20
692,-20
693,-20
694,-20
695,-40
696,-60
697,-100
698,0
699,-40
700,-60
701,0
702,-40
703,-40
704,-60
705,-60
706,0
707,-40
708,-40
709,-20
710,-20
711,-40
712,-40
713,-40
714,-60
715,-20
716,0
717,-20
718,-80
719,-100
720,-40
721,0
722,-60
723,-40
724,-40
725,-40
726,-20
727,-40
728,-40
729,0
730,-40
731,-20
732,-40
733,-20
734,-60
735,-60
736,-60
737,-40
738,94
739,0
740,-20
741,0
742,-20
743,-20
744,-20
745,-40
746,-20
747,20
748,0
749,-60
750,-60
751,-20
752,-20
753,-20
754,-40
755,-40
756,-20
757,-60
758,-40
759,20
760,-40
761,40
762,-40
763,-40
764,-20
765,-40
766,0
767,-40
768,0
769,0
770,-40
771,-40
772,-40
773,-20
774,-20
775,-20
776,-20
777,40
778,20
779,0
780,0
781,-20
782,-40
783,40
784,0
785,0
786,-80
787,-40
788,-20
789,-40
790,-40
791,0
792,0
793,0
794,20
795,0
796,0
797,-20
798,-60
799,-40
800,-40
801,-20
802,-40
803,-40
804,20
805,20
806,-40
807,-60
808,-60
809,20
810,-80
811,-20
812,0
813,-60
814,40
815,-60
816,-80
817,40
818,0
819,-80
820,20
821,0
822,-20
823,-20
824,-20
825,20
826,-40
827,-20
828,-60
829,0
830,-40
831,20
832,-40
833,0
834,-60
835,20
836,-60
837,-40
838,-20
839,0
840,-40
841,40
842,-40
843,-40
844,-40
845,-20
846,20
847,20
848,-20
849,-80
850,-40
851,-40
852,20
853,-20
854,20
855,-40
856,-40
857,-60
858,-20
859,-60
860,-40
861,0
862,-80
863,-40
864,94
865,-20
866,-40
867,-40
868,-60
869,-20
870,-40
871,-40
872,20
873,20
874,0
875,-20
876,-60
877,-40
878,0
879,-40
880,-40
881,0
882,-40
883,-20
884,-40
885,-40
886,-40
887,-60
888,-20
889,-60
890,-20
891,-20
892,-40
893,-100
894,-40
895,-60
896,-20
897,-20
898,-20
899,20
900,-40
901,-80
902,-60
903,-40
904,-20
905,-20
906,-20
907,0
908,-40
909,0
910,0
911,-20
912,-40
913,-20
914,-20
915,40
916,-20
917,-40
918,0
919,-20
920,0
921,20
922,-20
923,20
924,-80
925,-80
926,0
927,-20
928,20
929,-20
930,0
931,-20
932,-40
933,20
934,0
935,-40
936,20
937,-80
938,-40
939,-80
940,0
941,-60
942,0
943,-40
944,-20
945,-40
946,-20
947,-20
948,-40
949,-20
950,40
951,-20
952,-20
953,0
954,-40
955,-40
956,0
957,-40
958,0
959,-40
960,-40
961,-40
962,-40
963,-40
964,-60
965,0
966,-60
967,20
968,-60
969,-20
970,0
971,-60
972,20
973,20
974,20
975,-60
976,-40
977,-80
978,-20
979,-20
980,0
981,-20
982,-20
983,20
984,-60
985,20
986,0
987,-20
988,0
989,-20
990,0
991,62
992,-40
993,-20
994,20
995,-80
996,-20
997,0
998,-40
999,-40
