,score
0,-60
1,-60
2,-60
3,-60
4,-60
5,-60
6,20
7,-40
8,-60
9,-20
10,-80
11,-40
12,0
13,0
14,20
15,-40
16,60
17,40
18,-60
19,-80
20,-40
21,-20
22,0
23,0
24,0
25,-80
26,0
27,-60
28,-20
29,-40
30,-40
31,-40
32,-60
33,-40
34,0
35,-20
36,-40
37,-20
38,0
39,-20
40,-80
41,-60
42,-20
43,40
44,40
45,-40
46,-20
47,-40
48,-100
49,-20
50,20
51,0
52,-40
53,-20
54,-60
55,-60
56,20
57,0
58,-80
59,-60
60,-40
61,-20
62,-60
63,-40
64,-60
65,-60
66,-40
67,0
68,-20
69,-80
70,-40
71,-60
72,20
73,-60
74,60
75,40
76,-20
77,-60
78,-80
79,-40
80,-40
81,-40
82,-60
83,0
84,0
85,-20
86,-60
87,-80
88,-40
89,-40
90,-20
91,-20
92,-20
93,-40
94,-80
95,-20
96,40
97,-20
98,-80
99,-40
100,0
101,-40
102,-20
103,0
104,-40
105,0
106,-40
107,-20
108,0
109,100
110,-80
111,-40
112,0
113,60
114,-60
115,-20
116,20
117,-60
118,-60
119,-80
120,40
121,-60
122,-40
123,-20
124,-100
125,-40
126,-20
127,-80
128,-20
129,-20
130,0
131,-100
132,-80
133,-20
134,-40
135,-60
136,-100
137,0
138,-40
139,-60
140,-20
141,0
142,-80
143,-80
144,40
145,0
146,-60
147,-40
148,-40
149,-80
150,-80
151,-20
152,20
153,-40
154,-60
155,-40
156,-20
157,0
158,-20
159,-100
160,-20
161,-80
162,-80
163,-40
164,-40
165,20
166,-20
167,-20
168,-40
169,-40
170,-40
171,0
172,-20
173,-60
174,-40
175,-40
176,0
177,-60
178,20
179,20
180,-80
181,-20
182,-20
183,0
184,-40
185,-40
186,-40
187,20
188,0
189,-80
190,-40
191,-80
192,-80
193,40
194,-80
195,-60
196,-60
197,-40
198,-60
199,-80
200,-40
201,40
202,-20
203,-40
204,-60
205,-40
206,-60
207,-40
208,0
209,-80
210,-20
211,0
212,-60
213,-20
214,-40
215,-20
216,-40
217,-20
218,-60
219,40
220,-20
221,0
222,-40
223,-60
224,-60
225,-40
226,-40
227,-60
228,20
229,20
230,-60
231,-60
232,-40
233,0
234,-20
235,0
236,0
237,0
238,-80
239,40
240,-40
241,-60
242,-20
243,-40
244,-40
245,-40
246,20
247,-40
248,-60
249,-60
250,0
251,-80
252,-60
253,-60
254,-60
255,-20
256,-20
257,0
258,0
259,-40
260,0
261,-20
262,-80
263,-20
264,-20
265,20
266,-100
267,-80
268,-40
269,-20
270,-40
271,-40
272,-40
273,-20
274,-20
275,-40
276,-80
277,0
278,0
279,-60
280,40
281,20
282,-60
283,-40
284,-80
285,0
286,-20
287,-60
288,-60
289,-20
290,40
291,-100
292,-80
293,-20
294,-80
295,-40
296,100
297,-60
298,20
299,-60
300,-20
301,-60
302,20
303,-60
304,-60
305,-20
306,-40
307,-100
308,-20
309,-20
310,-40
311,-20
312,40
313,-20
314,-60
315,-40
316,-40
317,-60
318,-20
319,0
320,0
321,20
322,-40
323,-40
324,-60
325,-80
326,-20
327,-40
328,-40
329,-20
330,-40
331,0
332,-60
333,0
334,-40
335,-40
336,-40
337,-20
338,20
339,-40
340,-60
341,-100
342,0
343,-80
344,0
345,20
346,-60
347,-60
348,-20
349,0
350,-20
351,-60
352,-20
353,-20
354,-60
355,20
356,-20
357,0
358,-60
359,-20
360,-40
361,-40
362,0
363,-60
364,-40
365,-60
366,0
367,-80
368,-60
369,-20
370,-60
371,-40
372,0
373,-40
374,0
375,40
376,20
377,40
378,40
379,0
380,-60
381,0
382,-20
383,-20
384,-40
385,-40
386,-60
387,-20
388,-20
389,20
390,-20
391,-40
392,-40
393,-40
394,-40
395,-20
396,-20
397,-60
398,-60
399,60
400,-20
401,-40
402,-40
403,-40
404,-60
405,-60
406,-20
407,-40
408,-40
409,40
410,-40
411,-20
412,0
413,-20
414,0
415,20
416,-40
417,-20
418,-20
419,-20
420,20
421,20
422,-80
423,-40
424,-100
425,0
426,20
427,-40
428,-20
429,-40
430,0
431,-80
432,-60
433,-20
434,-100
435,-40
436,20
437,20
438,-20
439,-100
440,-40
441,-80
442,-60
443,-20
444,-20
445,-80
446,-40
447,20
448,-20
449,-20
450,0
451,0
452,-100
453,-80
454,-20
455,0
456,0
457,0
458,-20
459,-80
460,-40
461,-60
462,-20
463,-100
464,-80
465,-40
466,-40
467,-60
468,-20
469,-60
470,-20
471,0
472,0
473,-80
474,-20
475,40
476,0
477,-60
478,-40
479,0
480,-20
481,0
482,-40
483,0
484,-40
485,-40
486,-60
487,-40
488,-40
489,-20
490,-40
491,0
492,-40
493,0
494,-40
495,40
496,0
497,-40
498,-80
499,20
500,20
501,-60
502,-80
503,-40
504,-20
505,-20
506,-40
507,-60
508,0
509,0
510,-20
511,-60
512,-20
513,-80
514,0
515,-20
516,-80
517,-60
518,-60
519,-60
520,-40
521,-80
522,-40
523,0
524,-40
525,-60
526,-60
527,-40
528,0
529,-40
530,0
531,-40
532,-80
533,0
534,-60
535,20
536,-60
537,-20
538,-60
539,20
540,-40
541,-60
542,20
543,-20
544,20
545,-40
546,-80
547,-20
548,-20
549,-80
550,-40
551,-40
552,-80
553,0
554,-40
555,20
556,-60
557,20
558,-60
559,-20
560,-40
561,-20
562,-80
563,0
564,-20
565,0
566,0
567,0
568,-20
569,-40
570,-20
571,-20
572,-40
573,20
574,-40
575,-40
576,0
577,-20
578,-20
579,-40
580,-60
581,-40
582,-40
583,-20
584,-60
585,-20
586,-100
587,0
588,-20
589,-20
590,-60
591,0
592,-60
593,-80
594,-20
595,60
596,-40
597,-60
598,-20
599,-40
600,20
601,20
602,-80
603,-40
604,20
605,-20
606,20
607,0
608,0
609,0
610,-40
611,-80
612,-40
613,40
614,40
615,-20
616,0
617,-60
618,0
619,-100
620,-60
621,-40
622,-60
623,-60
624,20
625,0
626,-40
627,20
628,-40
629,-20
630,-40
631,-20
632,0
633,-40
634,-60
635,-40
636,20
637,-20
638,-40
639,40
640,-60
641,-80
642,0
643,-20
644,-40
645,-60
646,-40
647,-20
648,20
649,40
650,20
651,-60
652,0
653,20
654,-40
655,-40
656,-20
657,-40
658,-40
659,-20
660,-40
661,-20
662,0
663,0
664,-20
665,-40
666,-80
667,-40
668,-40
669,-20
670,40
671,-20
672,-40
673,-40
674,0
675,-100
676,-20
677,-20
678,-80
679,0
