,score
0,-40
1,-60
2,-20
3,-20
4,-80
5,-40
6,-20
7,-40
8,0
9,-20
10,-60
11,-20
12,-40
13,-20
14,-20
15,-60
16,-80
17,0
18,-80
19,-80
20,-20
21,0
22,0
23,-60
24,0
25,0
26,-40
27,-40
28,-20
29,-40
30,-60
31,-20
32,-20
33,0
34,-40
35,-80
36,0
37,-40
38,-40
39,-20
40,-40
41,-40
42,-40
43,0
44,28
45,-40
46,-20
47,-40
48,-80
49,0
50,-20
51,-40
52,-60
53,-40
54,-20
55,0
56,-60
57,-40
58,-60
59,-80
60,-40
61,-60
62,-100
63,-20
64,-40
65,-60
66,-80
67,-100
68,-60
69,-40
70,-20
71,-40
72,-20
73,-60
74,-20
75,0
76,-40
77,-60
78,-40
79,-60
80,-40
81,-40
82,-40
83,-60
84,-20
85,-40
86,-60
87,-20
88,-60
89,0
90,-20
91,-20
92,-40
93,-40
94,-20
95,-40
96,-60
97,-20
98,-20
99,-20
100,-60
101,-40
102,-40
103,-40
104,-60
105,-40
106,0
107,-40
108,-20
109,-40
110,-60
111,-20
112,-40
113,-40
114,-40
115,-20
116,-40
117,-40
118,-60
119,-60
120,0
121,88
122,-40
123,-20
124,-20
125,-60
126,0
127,0
128,-40
129,-60
130,-20
131,-20
132,-60
133,0
134,-40
135,-40
136,-40
137,-60
138,0
139,-40
140,-40
141,-40
142,-40
143,0
144,-60
145,-20
146,-20
147,-40
148,-40
149,-40
150,-20
151,-60
152,-20
153,-60
154,58
155,-60
156,-60
157,-40
158,-60
159,-40
160,0
161,-60
162,-60
163,-80
164,-40
165,-40
166,-40
167,-60
168,-40
169,-60
170,-60
171,-80
172,-60
173,-60
174,-60
175,0
176,-60
177,-60
178,0
179,-80
180,-80
181,-40
182,-60
183,-20
184,-60
185,-20
186,-60
187,-40
188,-60
189,-20
190,-20
191,-60
192,-60
193,-80
194,-40
195,-20
196,-60
197,-20
198,-20
199,0
200,-40
201,-20
202,-60
203,74
204,-100
205,-20
206,-40
207,-80
208,0
209,0
210,-20
211,-80
212,-40
213,-60
214,-60
215,74
216,-20
217,-60
218,-20
219,0
220,-20
221,-40
222,-40
223,-60
224,-40
225,-20
226,-60
227,-60
228,0
229,-40
230,-20
231,-40
232,-60
233,-60
234,-40
235,-40
236,-80
237,-20
238,0
239,-60
240,-80
241,-20
242,-60
243,-40
244,0
245,-60
246,-60
247,-40
248,-40
249,-20
250,-40
251,-20
252,-40
253,-20
254,-20
255,-40
256,-20
257,-20
258,-60
259,-40
260,-60
261,-80
262,0
263,-60
264,-40
265,-40
266,-80
267,-40
268,-20
269,-40
270,-40
271,-40
272,0
273,-20
274,0
275,0
276,-80
277,-40
278,0
279,-60
280,-60
281,-40
282,-20
283,0
284,-60
285,-20
286,-20
287,-40
288,0
289,-20
290,-20
291,-80
292,-40
293,-40
294,-40
295,-20
296,-40
297,-40
298,-60
299,-40
300,0
301,-20
302,-60
303,-20
304,-40
305,-40
306,-20
307,-60
308,-20
309,-20
310,-60
311,-80
312,-60
313,-20
314,-20
315,-20
316,0
317,-40
318,-20
319,-20
320,-40
321,-20
322,-40
323,0
324,-60
325,-100
326,-40
327,0
328,0
329,-20
330,-20
331,-20
332,-20
333,-60
334,-20
335,-40
336,-20
337,0
338,-60
339,-20
340,-40
341,-80
342,0
343,-40
344,-20
345,-80
346,-60
347,-40
348,0
349,-20
350,-40
351,0
352,-20
353,-20
354,-20
355,-40
356,-20
357,-20
358,-20
359,-20
360,-20
361,22
362,-20
363,0
364,-20
365,-20
366,-60
367,0
368,-80
369,-80
370,-20
371,-40
372,0
373,-60
374,-80
375,-60
376,-40
377,-60
378,-60
379,-40
380,-40
381,-80
382,-40
383,-60
384,-60
385,-60
386,-60
387,-40
388,-20
389,-60
390,-60
391,-40
392,-60
393,-40
394,-40
395,-20
396,-40
397,-40
398,-40
399,0
400,-40
401,-60
402,-60
403,-80
404,0
405,-40
406,-40
407,-40
408,-20
409,-20
410,-20
411,-40
412,-60
413,-40
414,-20
415,-60
416,-40
417,-80
418,-60
419,-20
420,-40
421,76
422,-20
423,-20
424,-60
425,-60
426,-40
427,-40
428,-40
429,-60
430,-60
431,-40
432,-40
433,-80
434,-80
435,-20
436,0
437,-40
438,-60
439,-40
440,-40
441,0
442,0
443,-40
444,-60
445,0
446,-40
447,0
448,-60
449,0
450,-40
451,-20
452,-20
453,-40
454,-60
455,-20
456,-40
457,-20
458,0
459,0
460,0
461,0
462,-20
463,-40
464,56
465,-20
466,-40
467,-60
468,-40
469,-40
470,-40
471,-40
472,-60
473,-60
474,-60
475,-60
476,-60
477,-20
478,-40
479,-20
480,-60
481,0
482,-20
483,-20
484,-40
485,-40
486,-20
487,0
488,0
489,-60
