Episodes,Reward
0,-20
200,0
400,-40
600,0
800,-20
1000,0
1200,0
1400,-20
1600,-40
1800,-20
2000,-40
2200,-40
2400,-80
2600,-20
2800,-20
3000,-40
3200,-80
3400,-20
3600,-20
3800,0
4000,-60
4200,-60
4400,-40
4600,-60
4800,0
5000,40
5200,-20
5400,-80
5600,-60
5800,-20
6000,-40
6200,-40
6400,20
6600,-40
6800,-60
7000,-40
7200,-20
7400,-40
7600,-60
7800,-40
8000,-20
8200,-40
8400,-80
8600,-40
8800,-60
9000,0
9200,20
9400,20
9600,-60
9800,-40
10000,20
10200,0
10400,-40
10600,40
10800,-20
11000,-40
11200,-40
11400,-40
11600,-60
11800,-40
12000,-80
12200,-80
12400,-80
12600,-40
12800,-60
13000,-80
13200,-20
13400,40
13600,-20
13800,0
14000,-80
14200,-60
14400,0
14600,-40
14800,-40
15000,-40
15200,-20
15400,0
15600,-60
15800,-40
16000,-60
16200,0
16400,-80
16600,-60
16800,-20
17000,-40
17200,0
17400,-60
17600,-20
17800,-20
18000,-80
18200,-20
18400,-40
18600,0
18800,-60
19000,-60
19200,-40
19400,20
19600,-20
19800,0
