Episodes,Reward
1000,-126.83185221670672
2000,-187.42930569988917
3000,-187.65788394464698
4000,-215.04333401922548
5000,-210.59042712417212
6000,-179.04170237636012
7000,-206.08094895389826
8000,-225.4891181310854
9000,-85.61453435298156
10000,-156.38123954155222
11000,-90.25124792812747
12000,-70.94242978158
13000,-76.92065097452274
14000,-88.79509998194752
15000,-74.45895170940048
16000,-86.52776777963248
17000,-99.43176003935118
18000,-60.96869085140204
19000,-77.65879914482463
20000,-39.31488512638363
21000,-74.76149306731868
22000,-76.30751785389852
23000,-52.427574239004294
24000,-74.62072089095984
25000,-54.49486976059211
26000,-54.999234574739134
27000,-78.5783482728712
28000,-77.31085568916635
29000,-81.28926051577778
30000,-69.61480289937461
31000,-96.40572693443234
32000,-51.450296174164805
33000,-56.33792262056594
34000,-72.23501129786057
35000,-85.15363806050709
36000,-84.29237229627256
37000,-67.229826163282
38000,-72.85884145561688
39000,-72.6105046054851
40000,-108.06192051925697
41000,-79.97735562842995
42000,-54.6851135157998
43000,-88.0065940127511
44000,-81.32501202270038
45000,-91.93626728639511
46000,-81.40520860469073
47000,-104.70023894372558
48000,-78.98859174791474
49000,-82.50193938936897
50000,-61.5222967130816
51000,-115.69687949469704
52000,-67.6504594541862
53000,-69.71690246367253
54000,-145.3956559275078
55000,-102.17730349667053
56000,-117.85260976835035
57000,-108.82212193838431
58000,-89.08480045057259
59000,-46.36039471402634
