Episodes,Reward
0,-61.78533748679355
4801,-55.11949956261047
9564,-56.369700791250246
14364,-64.65430607002088
19018,-43.36243778386086
23764,-53.87965477066575
28542,-55.4228959926144
33234,-62.32378801147572
37981,-67.89370385163565
42786,-52.39009103436101
47482,-48.306835513249425
52160,-49.30066110877287
56916,-56.64489699753221
61487,-59.19740942363518
66190,-60.106758504627024
70874,-56.920848089614324
75623,-71.26040259749638
80247,-45.018972199360164
84944,-60.68539477323342
89637,-55.11666959969672
94305,-46.99435154696022
98891,-35.401794900184036
103556,-50.09466140313695
108237,-44.105160048027926
112844,-57.518787963037674
117480,-45.103418381925074
121960,-51.38583707064718
126491,-55.232900046131874
131021,-46.85057206042878
135514,-48.168015838937855
140036,-53.26846326786552
144607,-52.532582919907114
149188,-54.47564324360838
153772,-42.08290362352488
158357,-41.642901369302216
162969,-32.330669206433484
167518,-49.38450264625537
172017,-36.11133022258193
176650,-43.4639666879056
181301,-52.390240700972306
185836,-30.85375058974303
190458,-50.63209668627371
195040,-39.55408720615946
199582,-59.658226932362275
204124,-54.239032062762064
208652,-47.395377566732705
213140,-46.71910769145264
217698,-41.13547921476985
222349,-57.699725500788155
226920,-62.40157422709213
231606,-40.32143730339442
236077,-51.8864701907448
240633,-47.637240192541356
245188,-38.89301914072905
249726,-37.82612933008813
254276,-37.71909227460502
258772,-47.53355436729302
263237,-52.458371449574976
267767,-59.39622280724814
272334,-49.336968442846256
276611,-30.546645878726615
281079,-72.49089058617359
285617,-33.76033021427283
290052,-49.009969796966985
294520,-41.778821857710874
299024,-33.22275185128022
300016,-40.51972558284825
