Episodes,Reward
0,-117.50000000000003
4734,-117.50000000000003
9261,-87.5
13991,-107.50000000000003
18551,-65.4
23188,-117.50000000000003
27780,-92.10000000000002
32248,-61.1
36741,-84.2
41127,-58.80000000000001
45558,-67.70000000000003
49951,-87.50000000000001
54249,-97.5
58687,-20.899999999999977
63144,-21.0
67540,-28.89999999999999
72086,-29.89999999999999
76512,-9.799999999999986
80981,-51.20000000000002
85329,-30.899999999999988
89776,-83.20000000000003
94160,-97.50000000000003
98452,5.500000000000007
102839,-97.50000000000001
107204,7.7000000000000135
111557,-57.5
115909,-87.5
120420,-8.799999999999997
124701,-20.000000000000007
129065,-25.5
133447,-97.50000000000001
137891,-76.60000000000001
142237,-47.499999999999986
146675,-53.40000000000002
151056,17.80000000000002
155486,-107.50000000000003
159906,-32.099999999999994
164467,-87.5
168867,-87.50000000000001
173392,-77.5
177789,-87.5
182272,-55.599999999999994
186653,-63.40000000000003
191028,-67.70000000000002
195351,-45.4
199821,-107.50000000000001
204195,-4.399999999999988
208484,3.200000000000008
212807,88.30000000000001
217184,-97.50000000000003
221614,-63.2
225969,-66.6
230427,-87.50000000000001
234602,-66.70000000000002
238975,-45.60000000000001
243333,7.299999999999995
247731,-42.1
252142,-79.90000000000002
256644,-59.90000000000002
261056,-86.4
265566,-43.099999999999994
269971,-107.50000000000003
274356,-22.499999999999986
278812,-107.50000000000003
283067,-13.499999999999998
287330,-57.7
291643,-77.5
296003,-31.099999999999998
300398,-67.7
304773,-24.299999999999983
309142,-97.5
313501,-43.19999999999998
317815,-51.10000000000002
322128,-46.59999999999998
326444,-59.79999999999999
330811,-4.299999999999995
335328,-58.80000000000001
339604,-34.299999999999976
344083,-57.80000000000001
348502,-57.499999999999986
352907,-57.70000000000001
357396,-65.50000000000001
361952,7.700000000000015
366380,-61.0
370784,-62.000000000000014
375420,-64.3
379918,-43.09999999999998
384371,-45.500000000000014
388919,-21.000000000000014
393362,-54.299999999999976
397790,-74.19999999999999
402366,-107.50000000000003
406920,-53.3
411385,-46.49999999999999
415813,-47.50000000000001
420214,-24.4
424629,-56.699999999999996
429122,-42.099999999999994
433481,-27.700000000000003
437936,-97.50000000000001
442389,-70.9
446858,-67.50000000000001
451175,-47.499999999999986
455622,-49.8
459968,-77.6
464378,-53.2
468734,-67.49999999999999
473105,-55.400000000000006
477539,-26.700000000000014
481876,-57.499999999999986
486160,-87.50000000000001
490610,-53.199999999999996
495031,-35.400000000000006
499376,-67.5
503817,-67.5
508255,-46.7
512696,-67.60000000000001
517037,-23.499999999999993
521370,2.20000000000001
525797,-30.999999999999993
530199,-41.10000000000001
534659,-67.5
539127,33.099999999999994
543582,-4.299999999999981
548039,-97.50000000000001
552452,-97.5
556775,-79.9
561375,-44.300000000000004
565687,-69.80000000000001
569995,-107.50000000000003
574363,-67.49999999999999
578824,-38.699999999999996
583253,-46.599999999999994
587606,-60.90000000000002
592167,-36.5
596525,-7.700000000000003
600988,-67.5
605412,-54.5
609739,-77.50000000000001
614114,-17.70000000000001
618594,-45.699999999999996
622982,-19.000000000000007
627397,-77.5
631709,-67.49999999999999
636185,-57.49999999999998
640755,-107.50000000000003
645230,-87.5
649651,-39.0
654068,-14.399999999999991
658414,-36.599999999999994
662730,-33.29999999999998
667141,-62.2
671490,19.1
675818,-69.8
680387,-43.3
684803,-87.50000000000001
689219,-77.49999999999999
693606,-55.30000000000001
697979,-10.000000000000004
702405,-67.5
706917,-67.5
711345,-36.60000000000001
715591,-73.2
720082,-32.1
724337,-107.50000000000003
728716,-45.5
733146,-68.80000000000001
737619,-77.50000000000001
741988,-55.39999999999999
746331,68.4
750696,-46.70000000000001
755139,-37.699999999999996
759594,-66.4
764082,-20.099999999999998
768674,-77.50000000000001
773132,-117.50000000000003
777534,-14.400000000000004
781876,-39.899999999999984
786262,-44.30000000000001
790640,-57.49999999999999
795024,-44.19999999999999
799471,-46.79999999999999
803994,-26.69999999999999
808271,-67.50000000000001
812642,-47.499999999999986
817145,-44.3
821565,-60.89999999999999
825968,-30.09999999999999
830452,-57.70000000000001
834850,-83.10000000000001
839275,-21.200000000000003
843726,-58.80000000000001
848093,-77.5
852473,-6.599999999999991
856835,-84.2
861241,-61.0
865677,-2.0999999999999837
869994,-62.000000000000014
874417,-57.70000000000001
878749,-87.5
883173,-33.19999999999999
887620,-57.5
891988,-38.8
896273,-77.50000000000001
900483,-53.40000000000002
904729,-25.49999999999999
909050,25.400000000000016
913332,-37.49999999999999
917696,-4.700000000000006
922242,-57.499999999999986
926667,-17.800000000000008
931023,-47.500000000000014
935390,-87.60000000000002
939812,-66.39999999999998
944163,-76.50000000000001
948506,-0.09999999999999076
952822,-53.20000000000001
957178,-17.700000000000003
961478,-39.90000000000002
966026,-54.29999999999998
970478,-57.5
974778,-51.00000000000001
979188,-27.49999999999999
983476,-87.50000000000001
987815,-61.0
992159,-57.49999999999999
996515,-11.2
1000007,-63.099999999999994
