Episodes,Reward
0,-120.0
10000,-66.0
20000,-72.0
30000,-108.0
40000,-78.0
50000,-84.0
60000,-72.0
70000,-72.0
80000,-60.0
90000,-108.0
100000,-24.0
110000,6.0
120000,-54.0
130000,-90.0
140000,-7.2
150000,48.0
160000,0.0
170000,24.0
180000,-36.0
190000,6.0
200000,0.0
210000,42.0
220000,-36.0
230000,54.0
240000,18.0
249985,103.2
259972,-30.0
269972,12.0
279972,78.6
289972,126.0
299972,78.0
309972,120.0
319972,84.0
329972,69.0
339964,-12.0
349943,73.8
359943,72.0
369943,58.2
379937,36.0
389937,60.0
399937,108.0
409926,78.0
419923,151.2
429909,48.0
439899,120.0
449892,102.0
459871,36.0
469870,12.0
479820,72.0
489820,30.0
499802,100.8
509800,60.0
519795,72.0
529783,6.0
539744,60.0
549718,157.2
559691,102.0
569670,6.0
579670,84.0
589645,66.0
599627,66.0
609612,60.0
619605,78.0
629605,66.0
639576,78.0
649576,18.0
659567,93.6
669556,18.0
679518,12.0
689492,18.0
699473,78.0
709472,48.0
719469,102.0
729451,24.0
739399,36.0
749384,-18.0
759381,18.0
769381,96.0
779379,102.0
789365,78.0
799350,85.2
809328,96.0
819263,42.0
829261,107.4
839247,132.0
849222,78.0
859193,66.0
869180,-12.0
879148,96.0
889137,0.0
899131,130.2
909104,24.0
919071,54.0
929063,120.0
939055,-18.0
949039,36.0
959036,102.0
969036,103.8
978992,125.4
988992,169.8
998981,79.8
1000018,57.6
