Episodes,Reward
1000,-56.680750816187135
2000,-51.639392270634445
3000,-79.71980129683439
4000,-59.831808090849336
5000,-66.24946141526816
6000,-37.64957270034974
7000,-49.30411620605938
8000,-33.53293355432221
9000,-47.71458606340205
10000,-38.74252070485412
11000,-64.5704059904807
12000,-29.9311600696185
13000,-59.43675908186013
14000,-61.41658306172502
15000,-47.25666358581258
16000,-60.64192118001979
17000,-38.24368122884262
18000,-40.68166946066198
19000,-34.19223025283071
20000,-36.56978674541346
21000,-45.1206478613057
22000,-40.09596092843937
23000,-29.271063007685406
24000,-46.98325658764988
25000,-34.35118405410713
26000,-43.617542655659605
27000,-43.39306388424126
28000,-46.287110985643956
29000,-48.0714153073272
30000,-63.29950007388741
31000,-46.19272154246145
32000,-27.48464962784198
33000,-36.928007794670755
34000,-60.036076100630936
35000,-21.727765068873037
36000,-50.86717964718558
37000,-51.88071792967681
38000,-41.49890072175818
39000,-33.34270244335483
40000,-28.840775804415266
41000,-34.99700798404626
42000,-26.4673355520576
43000,-20.661894909533967
44000,-52.85288213134653
45000,-25.090102068972534
46000,-16.13056103229865
47000,-32.7250875188839
48000,-40.69894271183002
49000,-18.28243418364904
50000,-23.985073284009243
51000,-33.939638455485
52000,-22.38573367692581
53000,-40.54085971506325
54000,-85.75094697521723
55000,-78.35852222065601
56000,-32.98145262707573
57000,-22.628226014735876
58000,-37.149076165868216
59000,-49.93611728454063
