Running on host: studgpu-node01.inf.ethz.ch
In directory: /cluster/courses/3dv/data/team-25/decentralized_marl/ppo_algorithm
Starting on: Mon Jun 24 14:09:44 CEST 2024
SLURM_JOB_ID: 22709
using cuda
episode: 0 | avg score: 0.0 | learning_steps: 0
episode: 100 | avg score: 5.7 | learning_steps: 37
episode: 200 | avg score: 2.9 | learning_steps: 76
episode: 300 | avg score: 5.2 | learning_steps: 114
episode: 400 | avg score: 7.4 | learning_steps: 150
episode: 500 | avg score: 9.1 | learning_steps: 186
episode: 600 | avg score: 10.8 | learning_steps: 222
episode: 700 | avg score: 7.7 | learning_steps: 258
episode: 800 | avg score: 6.3 | learning_steps: 294
episode: 900 | avg score: 8.4 | learning_steps: 330
episode: 1000 | avg score: 8.2 | learning_steps: 365
episode: 1100 | avg score: 11.0 | learning_steps: 401
episode: 1200 | avg score: 9.4 | learning_steps: 436
episode: 1300 | avg score: 15.5 | learning_steps: 469
episode: 1400 | avg score: 11.1 | learning_steps: 503
episode: 1500 | avg score: 9.7 | learning_steps: 537
episode: 1600 | avg score: 15.7 | learning_steps: 570
episode: 1700 | avg score: 15.8 | learning_steps: 601
episode: 1800 | avg score: 10.4 | learning_steps: 636
episode: 1900 | avg score: 14.0 | learning_steps: 669
episode: 2000 | avg score: 9.7 | learning_steps: 703
episode: 2100 | avg score: 11.9 | learning_steps: 736
episode: 2200 | avg score: 12.3 | learning_steps: 769
episode: 2300 | avg score: 8.2 | learning_steps: 804
episode: 2400 | avg score: 6.6 | learning_steps: 838
episode: 2500 | avg score: 8.3 | learning_steps: 872
episode: 2600 | avg score: 8.6 | learning_steps: 906
episode: 2700 | avg score: 9.7 | learning_steps: 940
episode: 2800 | avg score: 9.5 | learning_steps: 974
episode: 2900 | avg score: 15.8 | learning_steps: 1005
episode: 3000 | avg score: 16.4 | learning_steps: 1037
episode: 3100 | avg score: 10.4 | learning_steps: 1071
episode: 3200 | avg score: 12.4 | learning_steps: 1103
episode: 3300 | avg score: 12.7 | learning_steps: 1136
episode: 3400 | avg score: 14.9 | learning_steps: 1168
episode: 3500 | avg score: 14.4 | learning_steps: 1201
episode: 3600 | avg score: 9.8 | learning_steps: 1233
episode: 3700 | avg score: 15.5 | learning_steps: 1265
episode: 3800 | avg score: 16.2 | learning_steps: 1296
episode: 3900 | avg score: 17.6 | learning_steps: 1326
episode: 4000 | avg score: 21.1 | learning_steps: 1355
episode: 4100 | avg score: 15.5 | learning_steps: 1388
episode: 4200 | avg score: 16.5 | learning_steps: 1419
episode: 4300 | avg score: 17.7 | learning_steps: 1450
episode: 4400 | avg score: 17.9 | learning_steps: 1481
episode: 4500 | avg score: 13.5 | learning_steps: 1513
episode: 4600 | avg score: 15.2 | learning_steps: 1545
episode: 4700 | avg score: 17.5 | learning_steps: 1576
episode: 4800 | avg score: 19.5 | learning_steps: 1605
episode: 4900 | avg score: 20.3 | learning_steps: 1634
episode: 5000 | avg score: 17.7 | learning_steps: 1664
episode: 5100 | avg score: 18.0 | learning_steps: 1695
episode: 5200 | avg score: 20.4 | learning_steps: 1724
episode: 5300 | avg score: 17.5 | learning_steps: 1754
episode: 5400 | avg score: 19.5 | learning_steps: 1785
episode: 5500 | avg score: 23.8 | learning_steps: 1813
episode: 5600 | avg score: 22.0 | learning_steps: 1843
episode: 5700 | avg score: 16.6 | learning_steps: 1874
episode: 5800 | avg score: 15.9 | learning_steps: 1904
episode: 5900 | avg score: 17.2 | learning_steps: 1934
episode: 6000 | avg score: 15.3 | learning_steps: 1965
episode: 6100 | avg score: 18.4 | learning_steps: 1994
episode: 6200 | avg score: 12.1 | learning_steps: 2026
episode: 6300 | avg score: 15.3 | learning_steps: 2056
episode: 6400 | avg score: 18.8 | learning_steps: 2086
episode: 6500 | avg score: 19.8 | learning_steps: 2115
episode: 6600 | avg score: 22.4 | learning_steps: 2143
episode: 6700 | avg score: 18.1 | learning_steps: 2174
episode: 6800 | avg score: 18.1 | learning_steps: 2203
episode: 6900 | avg score: 17.2 | learning_steps: 2233
episode: 7000 | avg score: 17.9 | learning_steps: 2263
episode: 7100 | avg score: 16.8 | learning_steps: 2291
episode: 7200 | avg score: 15.3 | learning_steps: 2322
episode: 7300 | avg score: 18.0 | learning_steps: 2353
episode: 7400 | avg score: 20.4 | learning_steps: 2381
episode: 7500 | avg score: 16.3 | learning_steps: 2412
episode: 7600 | avg score: 22.5 | learning_steps: 2441
episode: 7700 | avg score: 19.9 | learning_steps: 2471
episode: 7800 | avg score: 12.1 | learning_steps: 2502
episode: 7900 | avg score: 19.5 | learning_steps: 2531
episode: 8000 | avg score: 12.5 | learning_steps: 2564
episode: 8100 | avg score: 22.2 | learning_steps: 2592
episode: 8200 | avg score: 19.6 | learning_steps: 2622
episode: 8300 | avg score: 17.7 | learning_steps: 2653
episode: 8400 | avg score: 15.0 | learning_steps: 2683
episode: 8500 | avg score: 17.7 | learning_steps: 2713
episode: 8600 | avg score: 23.7 | learning_steps: 2741
episode: 8700 | avg score: 22.2 | learning_steps: 2769
episode: 8800 | avg score: 19.4 | learning_steps: 2798
episode: 8900 | avg score: 16.9 | learning_steps: 2828
episode: 9000 | avg score: 17.0 | learning_steps: 2857
slurmstepd: error: *** JOB 22709 ON studgpu-node01 CANCELLED AT 2024-06-24T14:32:57 ***
