Running on host: studgpu-node01.inf.ethz.ch
In directory: /cluster/courses/3dv/data/team-25/decentralized_marl/ppo_algorithm
Starting on: Mon Jun 24 20:03:34 CEST 2024
SLURM_JOB_ID: 22783
using cuda
episode: 0 | avg score: -50.0 | learning_steps: 0
episode: 100 | avg score: -32.5 | learning_steps: 39
episode: 200 | avg score: -27.5 | learning_steps: 78
episode: 300 | avg score: -26.8 | learning_steps: 117
episode: 400 | avg score: -29.3 | learning_steps: 155
episode: 500 | avg score: -24.7 | learning_steps: 194
episode: 600 | avg score: -24.2 | learning_steps: 233
episode: 700 | avg score: -20.4 | learning_steps: 272
episode: 800 | avg score: -18.7 | learning_steps: 310
episode: 900 | avg score: -22.3 | learning_steps: 349
episode: 1000 | avg score: -22.3 | learning_steps: 388
episode: 1100 | avg score: -19.9 | learning_steps: 426
episode: 1200 | avg score: -18.9 | learning_steps: 465
episode: 1300 | avg score: -21.1 | learning_steps: 503
episode: 1400 | avg score: -21.2 | learning_steps: 542
episode: 1500 | avg score: -19.5 | learning_steps: 580
episode: 1600 | avg score: -12.6 | learning_steps: 618
episode: 1700 | avg score: -7.9 | learning_steps: 656
episode: 1800 | avg score: -19.1 | learning_steps: 694
episode: 1900 | avg score: -20.4 | learning_steps: 733
episode: 2000 | avg score: -12.8 | learning_steps: 770
episode: 2100 | avg score: -9.5 | learning_steps: 808
episode: 2200 | avg score: 2.2 | learning_steps: 844
episode: 2300 | avg score: -2.1 | learning_steps: 881
episode: 2400 | avg score: 3.1 | learning_steps: 916
episode: 2500 | avg score: 4.2 | learning_steps: 953
episode: 2600 | avg score: -3.0 | learning_steps: 990
episode: 2700 | avg score: -5.7 | learning_steps: 1027
episode: 2800 | avg score: 5.3 | learning_steps: 1062
episode: 2900 | avg score: 17.3 | learning_steps: 1097
episode: 3000 | avg score: 21.4 | learning_steps: 1129
episode: 3100 | avg score: 15.1 | learning_steps: 1163
episode: 3200 | avg score: 12.5 | learning_steps: 1198
episode: 3300 | avg score: 13.9 | learning_steps: 1233
episode: 3400 | avg score: 16.6 | learning_steps: 1266
episode: 3500 | avg score: 26.4 | learning_steps: 1299
episode: 3600 | avg score: 20.7 | learning_steps: 1332
episode: 3700 | avg score: 26.6 | learning_steps: 1364
episode: 3800 | avg score: 12.9 | learning_steps: 1399
episode: 3900 | avg score: 19.5 | learning_steps: 1432
episode: 4000 | avg score: 22.3 | learning_steps: 1464
episode: 4100 | avg score: 30.1 | learning_steps: 1495
episode: 4200 | avg score: 33.5 | learning_steps: 1526
episode: 4300 | avg score: 35.4 | learning_steps: 1556
episode: 4400 | avg score: 30.2 | learning_steps: 1587
