Running on host: studgpu-node01.inf.ethz.ch
In directory: /cluster/courses/3dv/data/team-25/decentralized_marl/ppo_algorithm
Starting on: Tue Jun 25 13:04:01 CEST 2024
SLURM_JOB_ID: 22859
using cuda
episode: 0 | avg score: 206.0 | learning_steps: 0
episode: 100 | avg score: 187.4 | learning_steps: 16
episode: 200 | avg score: 209.0 | learning_steps: 26
episode: 300 | avg score: 227.4 | learning_steps: 33
episode: 400 | avg score: 231.9 | learning_steps: 37
episode: 500 | avg score: 232.8 | learning_steps: 41
episode: 600 | avg score: 235.5 | learning_steps: 45
episode: 700 | avg score: 238.8 | learning_steps: 49
episode: 800 | avg score: 238.7 | learning_steps: 53
episode: 900 | avg score: 246.4 | learning_steps: 56
episode: 1000 | avg score: 257.1 | learning_steps: 60
episode: 1100 | avg score: 259.1 | learning_steps: 63
episode: 1200 | avg score: 255.1 | learning_steps: 67
episode: 1300 | avg score: 261.2 | learning_steps: 70
episode: 1400 | avg score: 252.2 | learning_steps: 74
episode: 1500 | avg score: 264.2 | learning_steps: 77
episode: 1600 | avg score: 250.6 | learning_steps: 81
episode: 1700 | avg score: 255.6 | learning_steps: 85
episode: 1800 | avg score: 254.3 | learning_steps: 88
episode: 1900 | avg score: 261.0 | learning_steps: 92
episode: 2000 | avg score: 259.7 | learning_steps: 95
episode: 2100 | avg score: 263.2 | learning_steps: 99
episode: 2200 | avg score: 279.3 | learning_steps: 102
episode: 2300 | avg score: 282.2 | learning_steps: 105
episode: 2400 | avg score: 318.4 | learning_steps: 108
episode: 2500 | avg score: 310.7 | learning_steps: 112
episode: 2600 | avg score: 330.4 | learning_steps: 115
episode: 2700 | avg score: 309.3 | learning_steps: 118
episode: 2800 | avg score: 308.8 | learning_steps: 121
episode: 2900 | avg score: 317.3 | learning_steps: 124
episode: 3000 | avg score: 323.4 | learning_steps: 127
episode: 3100 | avg score: 333.2 | learning_steps: 130
episode: 3200 | avg score: 341.3 | learning_steps: 134
episode: 3300 | avg score: 324.6 | learning_steps: 137
episode: 3400 | avg score: 320.6 | learning_steps: 140
episode: 3500 | avg score: 331.8 | learning_steps: 143
episode: 3600 | avg score: 333.8 | learning_steps: 146
episode: 3700 | avg score: 340.6 | learning_steps: 149
episode: 3800 | avg score: 330.2 | learning_steps: 152
episode: 3900 | avg score: 348.2 | learning_steps: 156
episode: 4000 | avg score: 355.1 | learning_steps: 159
episode: 4100 | avg score: 339.3 | learning_steps: 162
episode: 4200 | avg score: 352.2 | learning_steps: 165
episode: 4300 | avg score: 328.2 | learning_steps: 168
episode: 4400 | avg score: 333.9 | learning_steps: 171
episode: 4500 | avg score: 335.3 | learning_steps: 174
episode: 4600 | avg score: 341.8 | learning_steps: 177
episode: 4700 | avg score: 332.3 | learning_steps: 180
episode: 4800 | avg score: 341.8 | learning_steps: 184
episode: 4900 | avg score: 336.6 | learning_steps: 187
episode: 5000 | avg score: 346.8 | learning_steps: 190
episode: 5100 | avg score: 331.8 | learning_steps: 193
episode: 5200 | avg score: 340.0 | learning_steps: 196
episode: 5300 | avg score: 337.4 | learning_steps: 199
episode: 5400 | avg score: 324.7 | learning_steps: 202
episode: 5500 | avg score: 341.0 | learning_steps: 205
episode: 5600 | avg score: 349.8 | learning_steps: 209
episode: 5700 | avg score: 322.9 | learning_steps: 212
episode: 5800 | avg score: 322.4 | learning_steps: 215
episode: 5900 | avg score: 330.9 | learning_steps: 218
episode: 6000 | avg score: 344.6 | learning_steps: 221
episode: 6100 | avg score: 346.2 | learning_steps: 224
episode: 6200 | avg score: 338.1 | learning_steps: 227
episode: 6300 | avg score: 362.2 | learning_steps: 230
episode: 6400 | avg score: 341.1 | learning_steps: 233
episode: 6500 | avg score: 353.0 | learning_steps: 237
episode: 6600 | avg score: 361.2 | learning_steps: 240
episode: 6700 | avg score: 336.5 | learning_steps: 243
episode: 6800 | avg score: 363.8 | learning_steps: 246
episode: 6900 | avg score: 348.7 | learning_steps: 249
episode: 7000 | avg score: 326.6 | learning_steps: 252
episode: 7100 | avg score: 353.0 | learning_steps: 255
