,score
0,-60
1,0
2,-20
3,20
4,0
5,-40
6,-40
7,-20
8,-40
9,-80
10,-60
11,0
12,-20
13,-20
14,-40
15,0
16,-20
17,-60
18,-40
19,-60
20,-40
21,0
22,0
23,-60
24,0
25,-40
26,-20
27,-20
28,-60
29,-40
30,-20
31,0
32,-60
33,-40
34,-60
35,-20
36,-80
37,-20
38,-60
39,-20
40,0
41,40
42,20
43,-80
44,-40
45,20
46,-20
47,-60
48,-40
49,-60
50,-60
51,-20
52,0
53,-60
54,-40
55,-40
56,-40
57,-20
58,-40
59,-40
60,-40
61,-20
62,-20
63,-60
64,-20
65,0
66,-60
67,-20
68,0
69,40
70,-20
71,0
72,-20
73,-80
74,-40
75,-60
76,-80
77,-40
78,-60
79,-80
80,-20
81,-40
82,-20
83,-20
84,-60
85,0
86,-20
87,-40
88,-20
89,74
90,0
91,-40
92,-20
93,-40
94,-40
95,0
96,-20
97,-80
98,-40
99,108
100,-40
101,-20
102,-20
103,-40
104,0
105,40
106,-40
107,-40
108,-40
109,-20
110,-20
111,0
112,-40
113,-20
114,-60
115,20
116,-20
117,-60
118,-60
119,-20
120,-60
121,20
122,-20
123,-20
124,-60
125,-60
126,-60
127,-20
128,-20
129,0
130,-60
131,-80
132,-40
133,-20
134,-40
135,-40
136,-80
137,-40
138,20
139,-20
140,-20
141,-40
142,0
143,0
144,-40
145,-40
146,-20
147,-20
148,-40
149,-60
150,-80
151,-60
152,-60
153,0
154,-40
155,-20
156,-40
157,0
158,-20
159,-40
160,-40
161,-80
162,-60
163,0
164,-40
165,-40
166,-40
167,-20
168,-40
169,-60
170,0
171,-80
172,0
173,-20
174,40
175,0
176,-100
177,-40
178,0
179,-40
180,-40
181,-80
182,20
183,-40
184,-60
185,-80
186,-20
187,-20
188,-20
189,-40
190,-60
191,-40
192,0
193,-20
194,-60
195,-20
196,-40
197,-20
198,-40
199,-20
200,-80
201,-20
202,-40
203,-80
204,-60
205,-40
206,20
207,-40
208,-40
209,0
210,0
211,-20
212,20
213,-20
214,-40
215,-60
216,20
217,20
218,0
219,-40
220,0
221,-40
222,-40
223,-40
224,-20
225,-20
226,-20
227,-40
228,0
229,-20
230,-20
231,20
232,-40
233,-60
234,-40
235,108
236,-60
237,-60
238,20
239,-60
240,-60
241,-20
242,0
243,-20
244,-20
245,-80
246,-60
247,-60
248,0
249,0
250,-40
251,-40
252,0
253,-60
254,-20
255,-40
256,-20
257,-60
258,-40
259,-60
260,-60
261,-60
262,-60
263,-40
264,0
265,0
266,-60
267,-40
268,-80
269,-80
270,-60
271,0
272,-40
273,-20
274,0
275,-80
276,-20
277,-80
278,0
279,-20
280,-60
281,20
282,-20
283,0
284,-60
285,-20
286,-20
287,-60
288,-60
289,-20
290,-60
291,-40
292,-40
293,-80
294,-80
295,-20
296,0
297,40
298,-60
299,-40
300,-80
301,-20
302,-80
303,-100
304,-40
305,-40
306,-40
307,-60
308,-20
309,-20
310,-40
311,20
312,-60
313,-40
314,-40
315,-40
316,-40
317,-80
318,-20
319,-60
320,0
321,-60
322,-60
323,-20
324,-80
325,-40
326,-20
327,-40
328,-20
329,-60
330,0
331,0
332,20
333,0
334,-60
335,-100
336,-20
337,0
338,-20
339,-40
340,-40
341,-20
342,-40
343,-60
344,-40
345,0
346,-100
347,-60
348,-80
349,-20
350,-40
351,-20
352,0
353,40
354,-40
355,-40
356,-80
357,-80
358,-40
359,0
360,-60
361,-20
362,0
363,-80
364,-100
365,-40
366,0
367,-20
368,-40
369,-40
370,-20
371,-60
372,-60
373,-40
374,-60
375,0
376,-40
377,-40
378,-40
379,-80
380,-60
381,-60
382,-40
383,0
384,-20
385,-20
386,-80
387,0
388,-20
389,-80
390,-40
391,-40
392,-40
393,-40
394,-60
395,-40
396,-40
397,20
398,-40
399,20
400,-60
401,-60
402,-60
403,0
404,-40
405,0
406,-60
407,-20
408,-40
409,0
410,-60
411,0
412,-60
413,-60
414,-60
415,-20
416,-20
417,-60
418,-40
419,-60
420,-60
421,-40
422,20
423,-60
424,0
425,-40
426,-20
427,-20
428,-20
429,20
430,0
431,-60
432,-40
433,20
434,-40
435,-20
436,-40
437,-40
438,-40
439,0
440,20
441,-40
442,-60
443,-60
444,-20
445,-40
446,-20
447,-60
448,-40
449,-60
450,-60
451,-40
452,-60
453,-60
454,-60
455,-20
456,-40
457,0
458,-40
459,-80
460,-60
461,0
462,0
463,-40
464,-40
465,0
466,-40
467,-20
468,-60
469,20
470,-40
471,-40
472,-40
473,-40
474,0
475,-60
476,-80
477,-20
478,-40
479,40
480,0
481,-40
482,-60
483,20
484,0
485,-40
486,0
487,-20
488,-80
489,-40
490,0
491,-20
492,-40
493,-20
494,0
495,-60
496,0
497,-20
498,-20
499,0
500,-80
501,-20
502,0
503,-60
504,0
505,-40
506,0
507,-40
508,20
509,-40
510,-60
511,0
512,-20
513,-20
514,-60
515,20
516,0
517,-60
518,-20
519,-40
520,-20
521,-40
522,-40
523,-80
524,-60
525,0
526,0
527,0
528,-80
529,-20
530,-60
531,-20
532,-60
533,-80
534,-40
535,-40
536,-20
537,-100
538,-20
539,-60
540,-20
541,0
542,0
543,-40
544,20
545,-40
546,-40
547,-40
548,-40
549,-40
550,-60
551,-20
552,-40
553,-40
554,-20
555,-40
556,-20
557,-80
558,-20
559,-60
560,-60
561,-40
562,-80
563,20
564,-20
565,-80
566,-40
567,-60
568,-20
569,-60
570,-20
571,-40
572,-60
573,-40
574,0
575,-40
576,-20
577,0
578,-40
579,-60
580,0
581,-60
582,-40
583,-20
584,-40
585,-60
586,20
587,-60
588,-60
589,0
590,-80
591,-20
592,-80
593,-40
594,0
595,-60
596,-20
597,20
598,-40
599,-40
600,-20
601,40
602,20
603,0
604,-20
605,-60
606,-40
607,0
608,-20
609,0
610,-40
611,-20
612,-40
613,-60
614,-60
615,-80
616,20
617,0
618,-60
619,20
620,20
621,0
622,-40
623,-40
624,0
625,-20
626,-20
627,-20
628,0
629,-40
630,-60
631,-40
632,-40
633,-60
634,-20
635,-20
636,0
637,0
638,-40
639,-20
640,-40
641,-40
642,-60
643,-40
644,-40
645,-40
