,score
0,-40
1,-40
2,-80
3,-20
4,-80
5,-20
6,-60
7,80
8,-20
9,0
10,-40
11,-20
12,-80
13,-80
14,0
15,0
16,-40
17,-60
18,0
19,-20
20,-80
21,0
22,-60
23,-80
24,0
25,0
26,-60
27,-40
28,-40
29,-60
30,-80
31,-80
32,-40
33,-40
34,-20
35,-40
36,-80
37,-40
38,0
39,-40
40,-60
41,0
42,-100
43,-40
44,-40
45,40
46,-60
47,0
48,-80
49,-40
50,-40
51,-20
52,20
53,-80
54,-60
55,-20
56,-60
57,-40
58,-40
59,-40
60,20
61,20
62,-40
63,-20
64,-40
65,-40
66,-20
67,-40
68,-60
69,-60
70,0
71,-40
72,-40
73,0
74,-80
75,-20
76,-40
77,0
78,-20
79,-20
80,-40
81,-40
82,20
83,-60
84,-60
85,0
86,-80
87,-20
88,0
89,-20
90,-60
91,40
92,-60
93,-60
94,-20
95,-40
96,20
97,-40
98,-40
99,-40
100,-20
101,-20
102,-60
103,-60
104,-40
105,-100
106,-40
107,-20
108,-20
109,0
110,-20
111,-60
112,-60
113,20
114,0
115,-80
116,-80
117,-60
118,0
119,-40
120,20
121,-40
122,-20
123,-40
124,0
125,-40
126,-60
127,0
128,-100
129,0
130,-40
131,0
132,20
133,-40
134,-80
135,-40
136,-60
137,0
138,-80
139,-40
140,-60
141,-40
142,-20
143,-20
144,-60
145,-60
146,-40
147,-20
148,-60
149,0
150,-40
151,-20
152,0
153,-80
154,-80
155,-20
156,-60
157,-20
158,-40
159,-40
160,-40
161,20
162,0
163,-80
164,-20
165,-20
166,-80
167,-100
168,-60
169,-20
170,-40
171,0
172,20
173,-20
174,-40
175,-60
176,-40
177,-60
178,-80
179,-20
180,40
181,-20
182,0
183,-60
184,20
185,-60
186,-20
187,-40
188,-60
189,-80
190,-60
191,20
192,0
193,-20
194,-60
195,-40
196,-20
197,-20
198,0
199,0
200,-40
201,-40
202,-60
203,-20
204,-60
205,0
206,-60
207,-40
208,-40
209,20
210,-40
211,-80
212,-40
213,0
214,-20
215,-60
216,-40
217,-40
218,-20
219,-80
220,-20
221,-20
222,-20
223,0
224,-60
225,-60
226,-20
227,-40
228,-60
229,-40
230,-60
231,-80
232,-20
233,-100
