,score
0,-90
1,-60
2,-30
3,-90
4,-120
5,-60
6,-90
7,-120
8,-30
9,-60
10,-60
11,-90
12,-90
13,-90
14,-60
15,-120
16,-90
17,-90
18,-60
19,-60
20,-90
21,-60
22,-90
23,-60
24,-30
25,0
26,-90
27,-60
28,-150
29,-90
30,-90
31,-30
32,-30
33,-30
34,-90
35,-60
36,-60
37,-60
38,-90
39,-30
40,-90
41,-60
42,-60
43,-30
44,-120
45,-60
46,-60
47,-120
48,-90
49,-30
50,-90
51,-90
52,-120
53,-90
54,-60
55,-90
56,-90
57,-90
58,-30
59,-90
60,-60
61,-30
62,-60
63,-60
64,-120
65,-30
66,-90
67,-60
68,0
69,-90
70,-30
71,-30
72,-150
73,-60
74,-90
75,-30
76,-120
77,-60
78,135
79,-120
80,-120
81,0
82,-30
83,-90
84,-60
85,-90
86,-60
87,-90
88,-90
89,-120
90,-90
91,-30
92,0
93,-90
94,-90
95,0
96,-60
97,-60
98,-90
99,-60
100,0
101,-60
102,-60
103,-90
104,-60
105,-120
106,-90
107,0
108,-90
109,-60
110,-60
111,-60
112,-90
113,-90
114,-30
115,-60
116,-60
117,-30
118,-60
119,-120
120,-120
121,-60
122,-60
123,-120
124,-120
125,-90
126,-30
127,-120
128,0
129,-90
130,-60
131,-90
132,-90
133,-120
134,-60
135,-120
136,-60
137,-90
138,-90
139,-90
140,-60
141,-30
142,-90
143,-90
144,-30
145,-60
146,-30
147,-30
148,-60
149,-120
150,-30
151,0
152,-30
153,-120
154,0
155,-90
156,-60
157,-90
158,-120
159,-90
160,-30
161,-60
162,-120
163,-90
164,-30
165,-60
166,-90
167,-60
168,-120
169,-30
170,-30
171,-120
172,-90
173,-90
174,-30
175,-90
176,-90
177,-60
178,-60
179,-90
180,0
181,-120
182,-90
183,-120
184,-90
185,-120
186,-60
187,-90
188,-90
189,-60
190,-120
191,-90
192,-90
193,-120
194,-30
195,-60
196,-30
197,-60
198,-120
199,-90
200,-60
201,-90
202,-30
203,-90
204,-90
205,-90
206,-60
207,-150
208,-120
209,-60
210,-120
211,-90
212,-90
213,-120
214,-120
215,0
216,-60
217,-60
218,-60
219,-60
220,-60
221,-30
222,-30
223,-60
224,-90
225,-30
226,0
227,-120
228,-60
229,-30
230,-90
231,-120
232,-30
233,-120
234,-90
235,-120
236,-120
237,-30
238,-120
239,-90
240,0
241,-90
242,-90
243,-90
244,-30
245,-90
246,-60
247,-90
248,-30
249,-30
250,-60
251,-90
252,-120
253,-120
254,-90
255,-120
256,-90
257,-30
258,-60
259,-60
260,-60
261,-60
262,-90
263,-60
264,-30
265,-30
266,-60
267,-90
268,-90
269,0
270,-60
271,-30
272,-30
273,-90
274,-60
275,-30
276,-90
277,-90
278,-120
279,-60
280,-120
281,-120
282,-150
283,-120
284,0
285,-120
286,-30
287,-90
288,0
289,-120
290,-90
291,-60
292,-60
293,-120
294,-90
295,-90
296,-90
297,-90
298,-60
299,-120
300,-60
301,-30
302,-90
303,-90
304,-150
305,-90
306,-60
307,-120
308,-120
309,-30
310,-30
311,0
312,-90
313,-90
314,36
315,-90
316,-90
317,-60
318,-90
319,-60
320,-30
321,-60
322,-90
323,-90
324,-90
325,-60
326,-60
327,-90
328,-60
329,0
330,-90
331,-30
332,-60
333,0
334,-60
335,-60
336,-120
337,-60
338,-120
339,-90
340,0
341,-120
342,-150
343,-90
344,-60
345,-60
346,-120
347,-120
348,-60
349,-90
350,-30
351,-60
352,-60
353,-120
354,-30
355,-30
356,-60
357,-60
358,-60
359,-60
360,-30
361,-60
362,-90
363,-90
364,0
365,-60
366,-60
367,-90
368,-90
369,-60
370,-90
371,-60
372,-60
373,-90
374,-90
375,-60
376,-120
377,-120
378,-90
379,-60
380,-60
381,-30
382,-90
383,-30
384,-30
385,-90
386,-60
387,-60
388,-90
389,-30
390,-60
391,-90
392,-90
393,-90
394,-30
395,-90
396,-90
397,-90
398,-90
399,-90
400,-60
401,-90
402,-120
403,-150
404,-60
405,-90
406,-30
407,-30
408,0
409,-60
410,-120
411,-60
412,-120
413,-90
414,-120
415,-30
416,-60
417,-60
418,-60
419,-60
420,-120
421,-90
422,0
423,-60
424,-120
425,-60
426,-90
427,-150
428,-90
429,-60
430,-60
431,-60
432,-120
433,-30
434,-120
435,-30
436,-60
437,-90
438,-120
439,-90
440,0
441,-120
442,-30
443,-30
444,-120
445,-90
446,-30
447,-150
448,-60
449,-60
450,-90
451,-60
452,-90
453,-30
454,0
455,-60
456,-90
457,-90
458,-60
459,-60
460,-60
461,-120
462,-120
463,-60
464,-150
465,-60
466,-90
467,-60
468,-90
469,-60
470,-90
471,-90
472,-90
473,-120
474,-60
475,-60
476,-60
477,-60
478,0
479,-90
480,-60
481,-60
482,-120
483,-30
484,-150
485,-60
486,-60
487,-120
488,-60
489,-90
490,-90
491,-90
492,-90
493,-120
494,-60
495,-120
496,-90
497,-60
498,-120
499,-60
500,-60
501,-120
502,-120
503,-120
504,-30
505,-60
506,-90
507,-120
508,-60
509,-30
510,-90
511,-90
512,-60
513,-90
514,-120
515,-90
516,-120
517,-90
518,-60
