Episodes,Reward
25,-24.999999999999993
5015,-35.0
9968,-45.00000000000001
14909,-45.00000000000001
19868,-45.00000000000001
24858,-45.00000000000001
29840,-55.00000000000002
34825,-34.99999999999999
39825,-45.00000000000001
44810,-35.0
49810,-24.99999999999999
54755,-45.00000000000001
59755,-34.99999999999999
64715,-34.99999999999999
69701,-34.99999999999999
74673,-55.00000000000002
79673,-34.99999999999999
84658,-35.0
89613,-45.00000000000001
94573,-24.999999999999993
99562,-24.999999999999993
104489,-45.00000000000001
109473,-45.00000000000001
114438,-34.99999999999999
119413,-55.00000000000002
124326,-45.00000000000001
129284,-34.99999999999999
134253,-34.99999999999999
139228,-45.00000000000001
144215,-35.0
149180,-55.00000000000002
154160,-55.00000000000002
159052,-55.00000000000002
163983,-35.0
168929,-45.00000000000001
173897,-35.0
178843,-55.00000000000002
183816,-45.00000000000001
188764,-35.0
193749,-34.99999999999999
198629,-35.0
203514,-35.0
208432,-55.00000000000002
213416,-45.00000000000001
218395,-45.00000000000001
223272,-45.00000000000001
228206,-45.00000000000001
233165,-45.00000000000001
238099,-55.00000000000002
243082,-14.99999999999999
