Running on host: studgpu-node09.inf.ethz.ch
In directory: /cluster/courses/3dv/data/team-25/decentralized_marl/ppo_algorithm
Starting on: Mon Jun 24 14:49:41 CEST 2024
SLURM_JOB_ID: 22729
using cuda
episode: 0 | avg score: -40.0 | learning_steps: 0
episode: 100 | avg score: -41.5 | learning_steps: 37
episode: 200 | avg score: -41.5 | learning_steps: 75
episode: 300 | avg score: -42.2 | learning_steps: 113
episode: 400 | avg score: -43.2 | learning_steps: 150
episode: 500 | avg score: -42.2 | learning_steps: 188
episode: 600 | avg score: -45.5 | learning_steps: 226
episode: 700 | avg score: -41.9 | learning_steps: 263
episode: 800 | avg score: -43.0 | learning_steps: 301
episode: 900 | avg score: -42.0 | learning_steps: 339
episode: 1000 | avg score: -44.0 | learning_steps: 376
episode: 1100 | avg score: -44.7 | learning_steps: 414
episode: 1200 | avg score: -43.2 | learning_steps: 452
episode: 1300 | avg score: -38.9 | learning_steps: 489
episode: 1400 | avg score: -40.6 | learning_steps: 526
episode: 1500 | avg score: -41.7 | learning_steps: 564
episode: 1600 | avg score: -42.9 | learning_steps: 602
episode: 1700 | avg score: -36.7 | learning_steps: 639
episode: 1800 | avg score: -36.3 | learning_steps: 676
episode: 1900 | avg score: -34.9 | learning_steps: 712
episode: 2000 | avg score: -32.8 | learning_steps: 748
episode: 2100 | avg score: -38.7 | learning_steps: 785
episode: 2200 | avg score: -38.9 | learning_steps: 821
episode: 2300 | avg score: -32.2 | learning_steps: 857
episode: 2400 | avg score: -43.0 | learning_steps: 894
episode: 2500 | avg score: -38.6 | learning_steps: 931
episode: 2600 | avg score: -37.0 | learning_steps: 969
episode: 2700 | avg score: -36.7 | learning_steps: 1005
episode: 2800 | avg score: -34.7 | learning_steps: 1041
episode: 2900 | avg score: -34.5 | learning_steps: 1077
episode: 3000 | avg score: -40.4 | learning_steps: 1114
episode: 3100 | avg score: -29.7 | learning_steps: 1149
episode: 3200 | avg score: -27.4 | learning_steps: 1183
episode: 3300 | avg score: -33.6 | learning_steps: 1219
episode: 3400 | avg score: -31.6 | learning_steps: 1255
episode: 3500 | avg score: -28.1 | learning_steps: 1290
episode: 3600 | avg score: -31.1 | learning_steps: 1325
episode: 3700 | avg score: -30.9 | learning_steps: 1360
episode: 3800 | avg score: -24.4 | learning_steps: 1394
episode: 3900 | avg score: -21.5 | learning_steps: 1427
episode: 4000 | avg score: -24.1 | learning_steps: 1461
episode: 4100 | avg score: -28.4 | learning_steps: 1495
episode: 4200 | avg score: -30.0 | learning_steps: 1530
episode: 4300 | avg score: -23.8 | learning_steps: 1564
episode: 4400 | avg score: -25.8 | learning_steps: 1598
episode: 4500 | avg score: -27.2 | learning_steps: 1632
episode: 4600 | avg score: -16.8 | learning_steps: 1664
episode: 4700 | avg score: -22.8 | learning_steps: 1697
episode: 4800 | avg score: -21.2 | learning_steps: 1730
episode: 4900 | avg score: -17.0 | learning_steps: 1762
episode: 5000 | avg score: -27.9 | learning_steps: 1796
episode: 5100 | avg score: -18.5 | learning_steps: 1828
episode: 5200 | avg score: -23.5 | learning_steps: 1862
episode: 5300 | avg score: -24.2 | learning_steps: 1895
episode: 5400 | avg score: -22.2 | learning_steps: 1928
episode: 5500 | avg score: -13.6 | learning_steps: 1959
episode: 5600 | avg score: -15.2 | learning_steps: 1991
episode: 5700 | avg score: -14.6 | learning_steps: 2022
episode: 5800 | avg score: -16.2 | learning_steps: 2054
episode: 5900 | avg score: -12.5 | learning_steps: 2084
episode: 6000 | avg score: -19.5 | learning_steps: 2116
episode: 6100 | avg score: -11.1 | learning_steps: 2147
episode: 6200 | avg score: -27.4 | learning_steps: 2181
episode: 6300 | avg score: -32.3 | learning_steps: 2215
episode: 6400 | avg score: -34.9 | learning_steps: 2251
episode: 6500 | avg score: -29.6 | learning_steps: 2285
episode: 6600 | avg score: -30.0 | learning_steps: 2320
episode: 6700 | avg score: -30.9 | learning_steps: 2355
episode: 6800 | avg score: -29.2 | learning_steps: 2390
episode: 6900 | avg score: -28.7 | learning_steps: 2424
episode: 7000 | avg score: -34.7 | learning_steps: 2459
episode: 7100 | avg score: -35.0 | learning_steps: 2495
episode: 7200 | avg score: -30.0 | learning_steps: 2530
episode: 7300 | avg score: -23.0 | learning_steps: 2563
episode: 7400 | avg score: -21.2 | learning_steps: 2595
episode: 7500 | avg score: -16.5 | learning_steps: 2627
episode: 7600 | avg score: -17.4 | learning_steps: 2659
episode: 7700 | avg score: -14.6 | learning_steps: 2689
episode: 7800 | avg score: -23.4 | learning_steps: 2722
episode: 7900 | avg score: -20.7 | learning_steps: 2755
episode: 8000 | avg score: -27.3 | learning_steps: 2788
episode: 8100 | avg score: -16.4 | learning_steps: 2820
episode: 8200 | avg score: -16.8 | learning_steps: 2852
episode: 8300 | avg score: -17.7 | learning_steps: 2883
episode: 8400 | avg score: -17.3 | learning_steps: 2915
episode: 8500 | avg score: -18.6 | learning_steps: 2947
episode: 8600 | avg score: -15.7 | learning_steps: 2979
episode: 8700 | avg score: -15.3 | learning_steps: 3010
episode: 8800 | avg score: -14.0 | learning_steps: 3041
episode: 8900 | avg score: -14.9 | learning_steps: 3072
episode: 9000 | avg score: -18.3 | learning_steps: 3104
episode: 9100 | avg score: -19.3 | learning_steps: 3136
episode: 9200 | avg score: -19.0 | learning_steps: 3167
episode: 9300 | avg score: -21.5 | learning_steps: 3200
episode: 9400 | avg score: -9.4 | learning_steps: 3230
episode: 9500 | avg score: -21.2 | learning_steps: 3263
episode: 9600 | avg score: -8.1 | learning_steps: 3292
episode: 9700 | avg score: -14.7 | learning_steps: 3323
episode: 9800 | avg score: -12.1 | learning_steps: 3354
episode: 9900 | avg score: -8.1 | learning_steps: 3383
episode: 10000 | avg score: -11.2 | learning_steps: 3414
episode: 10100 | avg score: -13.3 | learning_steps: 3444
episode: 10200 | avg score: -17.1 | learning_steps: 3476
episode: 10300 | avg score: -11.6 | learning_steps: 3507
episode: 10400 | avg score: 1.1 | learning_steps: 3535
episode: 10500 | avg score: -9.5 | learning_steps: 3565
episode: 10600 | avg score: -7.6 | learning_steps: 3595
episode: 10700 | avg score: -8.2 | learning_steps: 3625
episode: 10800 | avg score: -10.8 | learning_steps: 3655
