Episodes,Reward
0,-31.012159838527555
50000,-33.74243877940771
100000,-13.850118401649073
150000,-17.10857439594629
200000,-28.486852952144666
250000,-22.598129104267773
300000,-22.96236020279035
350000,-15.916719994389899
400000,-33.32534586836403
450000,-23.315345103540448
500000,-18.277815575013793
550000,-22.7593460009958
600000,-15.591955036879881
650000,-16.325082398477928
700000,-17.11088230135382
750000,-30.616667661957166
800000,-18.80227757007263
850000,-19.083221582386795
900000,-21.723797106386193
950000,-31.363315263537125
1000000,-21.438734839009634
