Episodes,Reward
25,-109.32252393231416
50,-84.68895948086771
75,-90.67217346994511
100,-93.55481266104985
125,-101.65004161149362
150,-106.31087461498963
175,-98.52417719775805
200,-95.95400956972499
225,-94.29099572882505
250,-99.27814519369217
275,-94.35043597156164
300,-94.11248518572444
325,-97.07270775008459
350,-98.78885508973877
375,-102.45475252219703
400,-93.70504021039778
425,-96.59424283863069
450,-94.80696329619794
475,-89.37563383541989
500,-98.08535524411275
525,-95.15812655177737
550,-92.64891417103699
575,-105.71305547475419
600,-101.84763399627023
625,-101.33991469552609
650,-89.35886050916743
675,-92.61229864819047
700,-96.3848027743874
725,-86.86733276254381
750,-91.2062281031704
775,-92.67307066577412
800,-102.31857074979344
825,-101.05449013691755
850,-89.85644780391534
875,-104.69542976612796
900,-97.28777865399796
925,-93.66002458710247
950,-92.37745895414868
975,-101.08734325913503
1000,-96.22512282669976
1025,-90.15328518935056
1050,-99.64881366796124
1075,-95.37883332289259
1100,-101.94307038472016
1125,-99.16938424356462
1150,-95.71343439333397
1175,-87.21354467796182
1200,-104.81201457417646
1225,-100.24233971900459
1250,-99.88595999188719
1275,-93.97269483119264
1300,-103.78203951887627
1325,-101.3386339390497
1350,-94.48841227649383
1375,-95.10953779874868
1400,-92.56912794180056
1425,-101.76786397552242
1450,-94.20526557453795
1475,-104.76945963575697
1500,-91.87962745519376
1525,-100.70221515455219
1550,-97.86646387610531
1575,-108.4193120074025
1600,-97.18399026210972
1625,-111.94383822190255
1650,-91.68297522816661
1675,-101.28735023240785
1700,-91.25512464947339
1725,-100.55095138718981
1750,-89.9472953042944
1775,-91.63351003657493
1800,-96.87761269751562
1825,-89.7560061050056
1850,-90.44728926285273
1875,-100.32024704517482
1900,-110.19559501197999
1925,-102.16552862202506
1950,-105.34626871184713
1975,-99.53068038350959
2000,-91.92294155258665
2025,-92.84578989961938
2050,-98.09394403730158
2075,-103.1863041239598
2100,-97.3991380606367
2125,-97.05341645921446
2150,-92.90829668812256
2175,-93.44398309425718
2200,-104.0165970503561
2225,-105.76516829459128
2250,-97.79798492530458
2275,-89.13638129215795
2300,-91.9719634957018
2325,-95.02858831191529
2350,-94.28351796473669
2375,-91.62006631673653
2400,-93.63375521107447
2425,-88.09099546806154
2450,-115.7598805070466
2475,-96.91626588145034
2500,-86.92941016920162
2525,-93.49080217923958
2550,-89.5707722978266
2575,-100.27432446803783
2600,-95.7501587404609
2625,-89.72342719130533
2650,-84.02591600480487
2675,-97.46272901799693
2700,-102.70481601959541
2725,-89.0919740498987
2750,-104.04274226395268
2775,-92.84289115760326
2800,-95.74485994218563
2825,-96.93100902355638
2850,-86.63498451182996
2875,-84.9121078577142
2900,-97.42034703435789
2925,-100.47354585306397
2950,-92.23650817236478
2975,-90.850319485783
