Episodes,Reward
0,-115.0
5000,-65.0
10000,-85.0
15000,-115.0
20000,-75.0
25000,-25.0
30000,-55.0
35000,-65.0
40000,-75.0
45000,-85.0
50000,-95.0
55000,-65.0
60000,-45.0
65000,-65.0
70000,-25.0
75000,-65.0
80000,-95.0
85000,-75.0
90000,-55.0
95000,-105.0
100000,-45.0
105000,-25.0
110000,-85.0
115000,-95.0
120000,-15.0
125000,-75.0
130000,-65.0
135000,-15.0
140000,-65.0
145000,-35.0
150000,-55.0
155000,-55.0
160000,-45.0
165000,-45.0
170000,-55.0
175000,-35.0
180000,-15.0
185000,-15.0
190000,35.0
195000,15.0
200000,-15.0
205000,-45.0
210000,-45.0
215000,-75.0
220000,-55.0
225000,5.0
230000,15.0
235000,-5.0
240000,5.0
245000,-25.0
250000,35.0
255000,45.0
260000,75.0
265000,35.0
270000,45.0
275000,-75.0
280000,5.0
285000,-75.0
290000,25.0
295000,45.0
300000,5.0
305000,65.0
310000,15.0
315000,-5.0
320000,-65.0
325000,-5.0
330000,-15.0
335000,55.0
340000,35.0
345000,5.0
350000,-35.0
355000,15.0
360000,-25.0
365000,5.0
370000,45.0
375000,5.0
380000,-25.0
385000,55.0
390000,-55.0
395000,5.0
400000,15.0
405000,5.0
410000,45.0
415000,15.0
420000,25.0
425000,-15.0
430000,55.0
435000,85.0
440000,75.0
445000,-5.0
450000,85.0
455000,15.0
460000,5.0
465000,95.0
470000,-35.0
475000,85.0
480000,35.0
485000,-45.0
490000,-25.0
495000,-25.0
500000,35.0
505000,85.0
510000,55.0
515000,25.0
520000,85.0
525000,45.0
530000,65.0
535000,45.0
540000,95.0
545000,75.0
550000,15.0
555000,75.0
560000,-25.0
565000,-5.0
570000,135.0
575000,95.0
580000,25.0
585000,95.0
590000,25.0
595000,5.0
600000,45.0
605000,-15.0
610000,-45.0
615000,65.0
620000,75.0
625000,-45.0
630000,125.0
635000,25.0
640000,35.0
645000,35.0
650000,95.0
655000,65.0
660000,135.0
665000,25.0
670000,65.0
675000,15.0
680000,25.0
685000,95.0
690000,-25.0
695000,-35.0
700000,25.0
705000,-35.0
710000,95.0
715000,25.0
720000,35.0
725000,-15.0
730000,25.0
735000,25.0
740000,35.0
745000,-75.0
750000,45.0
755000,55.0
760000,-15.0
765000,65.0
770000,65.0
775000,35.0
780000,55.0
785000,-25.0
790000,85.0
795000,-5.0
800000,95.0
805000,35.0
810000,95.0
815000,45.0
820000,115.0
825000,35.0
830000,165.0
835000,-25.0
840000,5.0
845000,65.0
850000,95.0
855000,-25.0
860000,-25.0
865000,35.0
870000,5.0
875000,95.0
880000,-55.0
885000,55.0
890000,75.0
895000,155.0
900000,15.0
905000,-35.0
910000,15.0
915000,75.0
920000,45.0
925000,65.0
930000,25.0
935000,85.0
940000,55.0
945000,-15.0
950000,35.0
955000,105.0
960000,95.0
965000,-35.0
970000,75.0
975000,-65.0
980000,15.0
985000,95.0
990000,65.0
995000,105.0
1000000,115.0
1005000,65.0
1010000,75.0
1015000,105.0
1020000,105.0
1025000,145.0
1030000,5.0
1035000,25.0
1040000,55.0
1045000,105.0
1050000,25.0
1055000,15.0
1060000,105.0
1065000,105.0
1070000,-15.0
1075000,25.0
1080000,15.0
1085000,45.0
1090000,45.0
1095000,-5.0
1100000,85.0
1105000,55.0
1110000,65.0
1115000,75.0
1120000,65.0
1125000,15.0
1130000,15.0
1135000,45.0
1140000,115.0
1145000,55.0
1150000,-5.0
1155000,-35.0
1160000,35.0
1165000,105.0
1170000,85.0
1175000,15.0
1180000,75.0
1185000,45.0
1190000,55.0
1195000,25.0
1200000,65.0
1205000,-15.0
1210000,-5.0
1215000,85.0
1220000,115.0
1225000,65.0
1230000,145.0
1235000,45.0
1240000,105.0
1245000,55.0
1250000,75.0
1255000,85.0
1260000,55.0
1265000,145.0
1270000,105.0
1275000,115.0
1280000,45.0
1285000,125.0
1290000,75.0
1295000,65.0
1300000,65.0
1305000,75.0
1310000,55.0
1315000,45.0
1320000,35.0
1325000,45.0
1330000,125.0
1335000,105.0
1340000,-65.0
1345000,-25.0
1350000,85.0
1355000,85.0
1360000,75.0
1365000,165.0
1370000,75.0
1375000,25.0
1380000,165.0
1385000,5.0
1390000,75.0
1395000,95.0
1400000,55.0
1405000,135.0
1410000,25.0
1415000,-5.0
1420000,65.0
1425000,-45.0
1430000,105.0
1435000,25.0
1440000,85.0
1445000,65.0
1450000,105.0
1455000,125.0
1460000,35.0
1465000,85.0
1470000,105.0
1475000,55.0
1480000,95.0
1485000,135.0
1490000,115.0
1495000,45.0
1500000,55.0
1505000,5.0
1510000,75.0
1515000,55.0
1520000,125.0
1525000,-35.0
1530000,115.0
1535000,25.0
1540000,75.0
1545000,65.0
1550000,-15.0
