Episodes,Reward
0,-230.0
10000,-210.0
20000,-220.0
30000,-230.0
40000,-100.0
50000,-190.0
60000,-110.0
70000,-180.0
80000,-150.0
90000,-240.0
100000,-180.0
110000,-210.0
120000,-210.0
130000,-140.0
140000,-200.0
150000,-210.0
160000,-160.0
170000,-180.0
180000,-190.0
190000,-190.0
200000,-240.0
210000,-190.0
220000,-200.0
230000,-200.0
240000,-130.0
250000,-160.0
260000,-150.0
270000,-90.0
280000,-170.0
290000,-140.0
300000,-150.0
310000,-180.0
320000,-90.0
330000,-120.0
340000,-140.0
350000,-20.0
360000,-160.0
370000,-10.0
380000,-160.0
390000,-80.0
400000,-160.0
410000,-100.0
420000,-80.0
430000,-30.0
440000,-180.0
450000,-140.0
460000,-90.0
470000,-20.0
480000,-170.0
490000,-140.0
500000,-110.0
510000,-140.0
520000,-70.0
530000,0.0
540000,-50.0
550000,-90.0
560000,-60.0
570000,-70.0
580000,-190.0
590000,-30.0
600000,-50.0
610000,-120.0
620000,-80.0
630000,-140.0
640000,-80.0
650000,-90.0
660000,-80.0
670000,-140.0
680000,-50.0
690000,-130.0
700000,-90.0
710000,-130.0
720000,-110.0
730000,-120.0
740000,-100.0
750000,10.0
760000,-50.0
770000,-170.0
780000,-70.0
790000,-80.0
800000,-90.0
810000,-90.0
820000,-110.0
830000,-100.0
840000,-40.0
850000,-110.0
860000,-50.0
870000,-140.0
880000,-90.0
890000,-150.0
900000,-80.0
910000,-40.0
920000,-130.0
930000,-50.0
940000,-110.0
950000,-110.0
960000,-90.0
970000,-40.0
980000,-120.0
990000,-50.0
1000000,-90.0
1010000,-50.0
1020000,-120.0
1030000,-110.0
1040000,-100.0
1050000,-50.0
1060000,-150.0
1070000,-100.0
1080000,-190.0
1090000,-40.0
1100000,-100.0
1110000,-140.0
1120000,-30.0
1130000,20.0
1140000,-40.0
1150000,-80.0
1160000,-130.0
1170000,-90.0
1180000,-80.0
1190000,-140.0
1200000,-120.0
1210000,30.0
1220000,-170.0
1230000,-40.0
1240000,-100.0
1250000,-70.0
1260000,20.0
1270000,-30.0
1280000,0.0
1290000,-10.0
1300000,-100.0
1310000,-20.0
1320000,10.0
1330000,-70.0
1340000,-100.0
1350000,-50.0
1360000,-60.0
1370000,-70.0
1380000,-110.0
1390000,-20.0
1400000,-100.0
1410000,-60.0
1420000,-130.0
1430000,-130.0
1440000,-100.0
1450000,-140.0
1460000,30.0
1470000,-80.0
1480000,0.0
1490000,-20.0
1500000,-60.0
1510000,80.0
1520000,-40.0
1530000,-100.0
1540000,-140.0
1550000,-130.0
1560000,30.0
1570000,-90.0
1580000,-60.0
1590000,-130.0
1600000,-70.0
1610000,-150.0
1620000,-40.0
1630000,-30.0
1640000,-10.0
1650000,-90.0
1660000,-30.0
1670000,-130.0
1680000,-80.0
1690000,-40.0
1700000,-30.0
1710000,-110.0
1720000,-20.0
1730000,-60.0
1740000,-80.0
1750000,-20.0
1760000,-100.0
1770000,-120.0
1780000,-40.0
1790000,-70.0
1800000,-50.0
1810000,-110.0
1820000,-80.0
1830000,-60.0
1840000,-90.0
1850000,0.0
1860000,-60.0
1870000,-20.0
1880000,-100.0
1890000,-50.0
1900000,-110.0
1910000,-60.0
1920000,-40.0
1930000,-70.0
1940000,10.0
1950000,-40.0
1960000,0.0
1970000,-90.0
1980000,-100.0
1990000,-90.0
2000000,-110.0
2010000,-90.0
2020000,-20.0
2030000,-110.0
2040000,70.0
2050000,-90.0
2060000,-130.0
2070000,50.0
2080000,-10.0
2090000,0.0
2100000,0.0
2110000,-50.0
2120000,-130.0
2130000,-130.0
2140000,-110.0
2150000,-20.0
2160000,-180.0
2170000,-130.0
2180000,-40.0
2190000,-60.0
2200000,-100.0
2210000,-50.0
2220000,-10.0
2230000,-30.0
2240000,50.0
2250000,-40.0
2260000,-10.0
2270000,-60.0
2280000,-80.0
2290000,-140.0
2300000,10.0
2310000,-50.0
2320000,-40.0
2330000,-50.0
2340000,-150.0
2350000,70.0
2360000,-90.0
2370000,-40.0
2380000,40.0
2390000,0.0
2400000,-10.0
2410000,-140.0
2420000,-110.0
2430000,0.0
2440000,-50.0
2450000,-50.0
2460000,-30.0
2470000,-20.0
2480000,-140.0
2490000,-10.0
2500000,-60.0
2510000,-80.0
2520000,-30.0
2530000,-30.0
2540000,0.0
2550000,50.0
2560000,-10.0
2570000,10.0
2580000,0.0
2590000,-160.0
2600000,-30.0
2610000,-100.0
2620000,30.0
2630000,-20.0
2640000,10.0
2650000,-130.0
2660000,-20.0
2670000,30.0
2680000,-140.0
2690000,-70.0
2700000,-40.0
2710000,-90.0
2720000,-130.0
2730000,30.0
2740000,-30.0
2750000,-80.0
2760000,-90.0
2770000,-50.0
2780000,-10.0
2790000,-10.0
2800000,-160.0
2810000,-60.0
2820000,-20.0
2830000,-100.0
2840000,10.0
2850000,-80.0
2860000,-40.0
2870000,-20.0
2880000,10.0
2890000,-110.0
2900000,-90.0
2910000,-80.0
2920000,-60.0
2930000,40.0
2940000,-60.0
2950000,90.0
2960000,-10.0
2970000,-50.0
2980000,20.0
2990000,-70.0
3000000,-30.0
