Episodes,Reward
25,-30.62357462044264
4818,-26.936440983983864
9635,-3.096902252999047
14494,-30.62524345298343
19359,-13.515609673430177
24115,-25.823620545644907
28966,-25.18120068953428
33765,-22.43200481445125
38584,-24.87132955302625
43399,-21.493737819006626
48237,-22.259321168191164
53005,-16.85920564178586
57860,-28.896921528323908
62647,-26.51911578730327
67384,-28.32059861021673
72160,-28.729026951336497
77001,-25.373696640362393
81753,-31.976690242167145
86589,-16.96139578065788
91433,-37.001446958697215
96279,-28.679828014017257
101097,-41.983022286398345
105807,-23.890163059016267
110629,-31.85873188567119
115527,-24.20358724114132
120370,-31.13333848063087
125161,-33.7908695307565
130010,-20.92751338085387
134841,-29.389150403858356
139584,-26.19061340815847
144305,-23.80808000448652
149094,-30.015837989303776
153791,-27.304494683777584
158496,-8.325933572759354
163243,-27.14654022034932
168013,-21.10543825570973
172821,-16.654711689051187
177606,-39.44359840093668
182366,-29.72646296392389
187090,-26.16125745298274
191791,-32.73613583531161
196596,-31.472683283769836
201323,-23.129729610293438
206128,-5.811306258361407
210966,-20.564915333861354
215689,-23.022893269618372
220402,-28.54498249598459
225291,-21.891559748605545
230102,-35.233670215749555
234836,-33.249272556123515
