Episodes,Reward
50,-120
10050,-160
20050,-160
30050,-40
40050,-120
50050,0
60050,-120
70050,-120
80050,-200
90050,-80
100050,-80
110050,-80
120050,-120
130050,-80
140050,-80
150050,-120
160050,-80
170050,-120
180050,-160
190050,-200
200050,-160
210050,-160
220050,-80
230050,-120
240050,-200
250050,-120
260050,-40
270050,-160
280050,-160
290050,-120
300050,-200
310050,-160
320050,-200
330050,-120
340050,-200
350050,-40
360050,-120
370050,-200
380050,0
390050,-120
400050,-40
410050,-120
420050,-160
430050,-120
440050,-80
450050,-160
460050,-80
470050,-120
480050,-160
490050,-40
500050,-160
510050,-160
520050,-40
530050,-80
540050,-80
550050,-80
560050,-40
570050,-40
580050,-80
590050,-160
600050,-120
610050,-160
620050,-120
630050,-160
640050,-120
650050,-160
660050,-80
670050,-120
680050,-120
690050,-120
700050,-200
710050,-120
720050,-40
730050,-160
740050,-80
750050,-40
760050,-80
770050,-120
780050,-160
790050,-80
800050,-160
810050,-160
820050,0
830050,-120
840050,-120
850050,-120
860050,-160
870050,-160
880050,-40
890050,-80
900050,-80
910050,-120
920050,-80
930050,-120
940050,-160
950050,-80
960050,-120
970050,-120
980050,-120
990050,-160
