,score
0,-60
1,-40
2,-20
3,-20
4,-40
5,-80
6,-60
7,-80
8,20
9,-60
10,-40
11,-60
12,-60
13,-40
14,-20
15,-40
16,-100
17,-60
18,-60
19,-40
20,-20
21,20
22,-40
23,-80
24,0
25,-40
26,-80
27,-20
28,-80
29,-40
30,0
31,-80
32,-80
33,-20
34,-20
35,-60
36,-100
37,-40
38,-20
39,40
40,-20
41,-20
42,-20
43,-40
44,-40
45,-20
46,-40
47,-20
48,-20
49,-40
50,-20
51,0
52,-60
53,-20
54,-40
55,20
56,0
57,-60
58,-60
59,-40
60,-20
61,-60
62,-40
63,-20
64,-20
65,0
66,-40
67,-40
68,-20
69,0
70,-60
71,-60
72,-80
73,0
74,-60
75,0
76,-80
77,-20
78,-60
79,-20
80,0
81,-40
82,0
83,-60
84,-60
85,-20
86,-20
87,0
88,-60
89,-80
90,-40
91,-80
92,-60
93,20
94,0
95,-20
96,-40
97,40
98,-20
99,0
100,-40
101,-40
102,-60
103,-20
104,-40
105,-60
106,-40
107,-20
108,0
109,-20
110,20
111,-60
112,-20
113,-60
114,-40
115,-20
116,-40
117,20
118,-20
119,-20
120,-40
121,-40
122,0
123,-20
124,-80
125,-80
126,0
127,-40
128,-20
129,0
130,-40
131,0
132,-20
133,-40
134,0
135,20
136,0
137,20
138,-40
139,-20
140,-80
141,-60
142,-80
143,-40
144,40
145,-20
146,-40
147,-80
148,-40
149,-60
150,-60
151,-80
152,-60
153,-40
154,-20
155,-60
156,-60
157,-60
158,-60
159,-40
160,-40
161,0
162,-40
163,-20
164,-60
165,-60
166,-80
167,-40
168,-80
169,0
170,-100
171,20
172,-60
173,-60
174,-80
175,-40
176,20
177,-20
178,-20
179,-20
180,0
181,-40
182,-20
183,-60
184,-40
185,-40
186,0
187,-60
188,-80
189,0
190,-40
191,0
192,-40
193,-60
194,-60
195,0
196,0
197,-40
198,40
199,-40
200,-40
201,-20
202,-20
203,-40
204,-40
205,-40
206,-40
207,0
208,-60
209,20
210,-60
211,0
212,0
213,20
214,-40
215,20
216,-20
217,-60
218,0
219,-60
220,-40
221,0
222,-60
223,-60
224,-40
225,-60
226,-20
227,-80
228,-60
229,40
230,0
231,-40
232,0
233,-20
234,-60
235,-40
236,-60
237,0
238,-40
239,-40
240,-20
241,-20
242,-20
243,-40
244,-60
245,0
246,-40
247,-40
248,-60
249,-40
250,20
251,0
252,20
253,-40
254,-40
255,-20
256,0
257,-60
258,-20
259,0
260,-60
261,-40
262,-40
263,-40
264,-40
265,0
266,-20
267,0
268,-80
269,-40
270,-20
271,-40
272,0
273,-20
274,-20
275,-20
276,-60
277,-60
278,40
279,-80
280,40
281,-20
282,-40
283,0
284,-60
285,-40
286,-40
287,-40
288,0
289,0
290,-40
291,-20
292,-20
293,-20
294,-60
295,-40
296,-40
297,-40
298,20
299,-80
300,-20
301,-80
302,-80
303,-40
304,-20
305,-40
306,-60
307,-20
308,-60
309,-20
310,-60
311,20
312,0
313,-80
314,-40
315,-60
316,20
317,-40
318,-20
319,-80
320,0
321,-60
322,-20
323,0
324,-20
325,0
326,-40
327,-60
328,0
329,-60
330,0
331,20
332,20
333,-20
334,-20
335,0
336,-40
337,-60
338,-20
339,0
340,-60
341,0
342,-40
343,-40
344,-40
345,-40
346,0
347,-20
348,-40
349,-60
350,-40
351,0
352,-80
353,0
354,20
355,-60
356,40
357,0
358,0
359,0
360,20
361,-60
362,-20
363,-80
364,-20
365,-40
366,-80
367,-40
368,-60
369,-20
370,0
371,0
372,0
373,-20
374,-20
375,-100
376,20
377,-20
378,0
379,-40
380,-40
381,-20
382,0
383,-40
384,-20
385,-20
386,0
387,40
388,-40
389,-40
390,-20
391,-60
392,-40
393,20
394,-40
395,-20
396,-20
397,20
398,0
399,-20
400,-40
401,-40
402,0
403,20
404,-20
405,-20
406,0
407,20
408,20
409,-20
410,-20
411,-20
412,-20
413,0
414,-20
415,-60
416,-60
417,20
418,-40
419,-40
420,20
421,-20
422,0
423,-60
424,-40
425,-20
426,-20
427,-40
428,-40
429,-40
430,-60
431,-40
432,-20
433,0
434,-80
435,-40
436,40
437,0
438,-40
439,-20
440,-20
441,-20
442,-40
443,-20
444,-60
445,-60
446,-40
447,-40
448,0
449,-20
450,0
451,-20
452,-40
453,-20
454,-20
455,20
456,-20
457,-40
458,-20
459,0
460,40
461,-40
462,20
463,-60
464,-80
465,-40
466,-40
467,-40
468,-60
469,0
470,-20
471,-60
472,-40
473,20
474,0
475,20
476,-20
477,0
478,40
479,-40
480,-20
481,-60
482,-80
483,-100
484,-40
485,-60
486,-40
487,-20
488,40
489,-40
490,-20
491,-60
492,-40
493,20
494,-20
495,0
496,-80
497,-60
498,-40
499,-20
500,0
501,-40
502,-80
503,-80
504,-40
505,-60
506,-20
507,-60
508,0
