,score
0,-80
1,-40
2,-60
3,-40
4,40
5,-60
6,-20
7,-40
8,-60
9,-20
10,-20
11,-40
12,0
13,-80
14,-20
15,-60
16,-60
17,-20
18,-40
19,-60
20,-60
21,-20
22,0
23,-80
24,-60
25,-100
26,-60
27,-40
28,-20
29,-40
30,-100
31,-40
32,-20
33,-80
34,-40
35,-40
36,-20
37,-60
38,-40
39,-60
40,-60
41,-60
42,-40
43,-40
44,-60
45,-60
46,-60
47,-40
48,0
49,-40
50,0
51,-20
52,-60
53,-20
54,-20
55,60
56,-20
57,-20
58,-40
59,-40
60,-20
61,-40
62,-40
63,0
64,-60
65,-60
66,-20
67,0
68,-80
69,-40
70,-20
71,-40
72,-80
73,-20
74,40
75,-40
76,-20
77,-40
78,-40
79,-40
80,-60
81,-20
82,-60
83,-40
84,0
85,-20
86,-40
87,-40
88,-20
89,-40
90,-40
91,-40
92,-40
93,-20
94,-60
95,0
96,-40
97,0
98,-20
99,-40
100,-20
101,-40
102,-20
103,-20
104,-40
105,-60
106,-40
107,-60
108,0
109,-20
110,-40
111,0
112,-40
113,-20
114,-20
115,-40
116,-40
117,-20
118,-20
119,-60
120,-20
121,-40
122,0
123,-40
124,0
125,-60
126,-40
127,0
128,0
129,-80
130,-20
131,-40
132,-40
133,0
134,-40
135,-60
136,-40
137,-40
138,0
139,-40
140,-20
141,-40
142,-40
143,-40
144,-40
145,-40
146,-40
147,-20
148,0
149,-20
150,-40
151,-80
152,-20
153,-40
154,-60
155,-80
156,0
157,-20
158,-60
159,-40
160,-60
161,36
162,0
163,-40
164,-40
165,-20
166,-20
167,-20
168,-20
169,-60
170,-60
171,-20
172,-20
173,-60
174,-80
175,-40
176,-80
177,-40
178,-40
179,-40
180,0
181,-40
182,-20
183,-40
184,-40
185,-40
186,-40
187,-60
188,-40
189,-40
190,-20
191,-60
192,-60
193,-60
194,-40
195,0
196,-80
197,-40
198,-20
199,-100
200,-20
201,-40
202,-40
203,-20
204,-20
205,0
206,0
207,0
208,-40
209,-40
210,-40
211,-20
212,-40
213,-20
214,-60
215,-20
216,-40
217,-60
