Episodes,Reward
1000,-91.8707141971215
2000,-60.233006041488565
3000,-95.6817770298975
4000,-55.8248359662436
5000,-82.70847856425354
6000,-92.01587020103857
7000,-114.90908123972923
8000,-109.10531782850569
9000,-116.99960235760558
10000,-156.42616299865878
11000,-143.37951476623286
12000,-103.7826796743641
13000,-140.94545147432893
14000,-66.79872736226035
15000,-118.58728436444912
16000,-56.48714225256774
17000,-55.601287491269744
18000,-107.56891600863972
19000,-97.7138579519198
20000,-74.41935555761897
21000,-69.434176040372
22000,-113.68214043846842
23000,-122.25419710574391
24000,-85.56091083608597
25000,-79.39013999167078
26000,-87.60636268485888
27000,-120.10991284150082
28000,-74.85582128107647
29000,-94.36574536400653
30000,-100.8120750870063
31000,-101.4839673723793
32000,-75.55814917273426
33000,-113.42094682086444
34000,-111.67119424860817
35000,-127.61087000511966
36000,-103.23596170359474
37000,-57.09749114606217
38000,-106.01525495468962
39000,-62.816262885432856
40000,-84.44399220246328
41000,-90.07304168682545
42000,-94.67894399845777
43000,-116.97417274401575
44000,-60.12460007185916
45000,-90.33930322854431
46000,-73.675975953298
47000,-107.25984399709587
48000,-79.45457987074535
49000,-85.46934341935744
50000,-100.09334423687281
51000,-94.70562481697017
52000,-53.15113856083457
53000,-114.56685181727673
54000,-97.6595361353816
55000,-187.1528144508187
56000,-58.890541636417375
57000,-115.40914448599742
58000,-85.02223188957407
59000,-79.45024189923154
