Episodes,Reward
0,-320
250,-200
500,-360
750,-320
1000,-280
1250,-320
1500,-320
1750,-200
2000,-200
2250,-280
2500,-200
2750,-120
3000,-160
3250,-280
3500,-200
3750,-120
4000,-320
4250,-240
4500,-280
4750,-160
5000,-240
5250,-280
5500,-240
5750,-200
6000,-120
6250,-280
6500,-320
6750,-280
7000,-160
7250,-240
7500,-80
7750,-120
8000,-120
8250,-160
8500,-160
8750,0
9000,-160
9250,-280
9500,-160
9750,-160
10000,-360
10250,-240
10500,-240
10750,-280
11000,-240
11250,-120
11500,-200
11750,-120
12000,-120
12250,-120
12500,-120
12750,-200
13000,-160
13250,-120
13500,-240
13750,-200
14000,-320
14250,-120
14500,-120
14750,-200
15000,-360
15250,-240
15500,-240
15750,-280
16000,-240
16250,-120
16500,-200
16750,-120
17000,-120
17250,-120
17500,-120
17750,-200
18000,-160
18250,-120
18500,-240
18750,-200
19000,-320
19250,-120
19500,-120
19750,-200
