Episodes,Reward
1000,-80.96615288424394
2000,-85.02729068333166
3000,-66.41092346041873
4000,-54.78048993046563
5000,-55.59479896534045
6000,-84.23497882316678
7000,-46.6014785643752
8000,-122.85710777441825
9000,-102.91213051167733
10000,-120.67032624180642
11000,-98.81766624548708
12000,-140.1544430262949
13000,-46.25133835169896
14000,-118.23267565728683
15000,-80.00188364469572
16000,-86.53619956127687
17000,-82.23833442676954
18000,-205.0829079208393
19000,-131.60750753576866
20000,-147.65694076807534
21000,-128.2289078389615
22000,-188.93628816692367
23000,-91.58478272935889
24000,-133.11544190046146
25000,-93.13309493341208
26000,-84.25948441659222
27000,-107.00397239862696
28000,-132.96982484192984
29000,-141.55244776308334
30000,-114.66921880386002
31000,-115.02911235410792
32000,-66.77014229874545
33000,-73.06190571627188
34000,-147.0246614637553
35000,-83.84089415062927
36000,-78.23668334833096
37000,-38.26614536797933
38000,-75.83761819114038
39000,-64.58241181077162
