Episodes,Reward
25,-29.703324801994384
50,-29.868886663713038
75,-29.851705040189128
100,-29.797621039468293
125,-29.875059616356587
150,-29.848843865802092
175,-29.77888918138199
200,-29.815569672617315
225,-29.89180795824462
250,-29.87149266001375
275,-29.839033055380572
300,-29.708513857470937
325,-29.87669763352374
350,-29.850782849228096
375,-29.812307943615856
400,-29.848315386000273
425,-29.82726713714408
450,-29.82013916808197
475,-29.742323229396742
500,-29.801814977218125
525,-29.762376757457503
550,-29.86879902225658
575,-29.86452330850727
600,-29.8207053751205
625,-29.814001235884714
650,-29.72065408346329
675,-29.881008098743127
700,-29.87421608384201
725,-29.74650988958065
750,-29.802107797815044
775,-29.836479423277275
800,-29.853496891543315
825,-29.727211521802896
850,-29.799105802707665
875,-29.813637482644005
900,-29.794586444118483
925,-29.881959546782834
950,-29.826501260892215
975,-29.820495903135622
1000,-29.839187197492464
1025,-29.713013572261747
1050,-29.889775132963145
1075,-29.843468887763898
1100,-29.779366870717073
1125,-29.886487767593646
1150,-29.864021405554283
1175,-29.734570580077374
1200,-29.823185722825695
1225,-29.744851122809024
1250,-29.745083628599357
1275,-29.880173963764957
1300,-29.75820964832108
1325,-29.78667638820895
1350,-29.84855215265072
1375,-29.7794305873134
1400,-29.87673193734026
1425,-29.72061305088478
1450,-29.80639941041134
1475,-29.86654027342208
1500,-29.888590268529253
1525,-29.876364306439527
1550,-29.812299363983144
1575,-29.822312985414705
1600,-29.760555049402985
1625,-29.717853458417025
1650,-29.754048370929237
1675,-29.79219446832461
1700,-29.741089477338914
1725,-29.788780982906037
1750,-29.757765426593515
1775,-29.875712475126942
1800,-29.781495217741373
1825,-29.751776813923794
1850,-29.798289943824436
1875,-29.78206293042075
1900,-29.775381889497496
1925,-29.802061457720583
1950,-29.86305793585534
1975,-29.814307242845903
2000,-29.787867479466257
2025,-29.72845830009779
2050,-29.703711406280902
2075,-29.786023058418127
2100,-29.73940032868859
2125,-29.71351187335421
2150,-29.783863214195602
2175,-29.731896370286535
2200,-29.87609900936175
2225,-29.89539463884323
2250,-29.853306708415555
2275,-29.709807127006567
2300,-29.836426181677545
2325,-29.7083458012137
2350,-29.89383696283784
2375,-29.897113488101333
2400,-29.847115921371287
2425,-29.785215113019305
2450,-29.789928376612608
2475,-29.73613681378894
2500,-29.873198338204606
2525,-29.85885076471138
2550,-29.71605435283482
2575,-29.80483212719035
2600,-29.801901898564825
2625,-29.87161928435716
2650,-29.716392709148348
2675,-29.727973137058612
2700,-29.715453983171177
2725,-29.896572964205152
2750,-29.793970694178967
2775,-29.71473407605234
2800,-29.781257739973682
2825,-29.71472750730466
2850,-29.746321368252904
2875,-29.806526730950118
2900,-29.739099367984263
2925,-29.723993570791105
2950,-29.872591390942922
2975,-29.807102815830618
