Episodes,Reward
0,-29.979305953702646
4843,-27.897348238126984
9525,-22.4332902579391
14354,-26.775865141707534
19132,-14.605550943484639
23908,-13.127458232293922
28734,-25.463153830502517
33453,-18.76980605660741
38203,-18.86093201306496
42865,-20.849192811275003
47480,-20.776163477461104
51985,-17.447788074209587
56582,-20.242767629475445
61202,-21.986186160539198
65917,-24.41392315642245
70694,-19.643846667008017
75167,-19.654359737603887
79728,-17.916219933733633
84245,-16.137546015850184
88951,-16.476995097919946
93583,-16.792581799543115
98221,-18.48532702614973
102861,-22.15580134556859
107523,-19.138838464954123
112030,-15.70857544868908
116580,-24.804496480838054
121127,-16.595313473117592
125766,-18.186882375354916
130396,-26.158294102474294
134999,-26.319760508645174
139691,-16.263476621948907
144237,-19.07980503201156
148896,-16.449603822339256
153461,-18.584545199460997
158064,-21.249039090351804
162611,-16.544722783175406
167225,-24.166671923217194
171883,-14.209728141384193
176334,-13.985381080503748
180865,-22.581720385060684
185449,-19.999993460500693
190015,-17.06151801451749
194410,-22.707361916067715
198925,-20.197806688170182
203507,-12.784183297215346
208163,-14.037039725256324
212767,-16.788206165734692
217297,-21.895105745242745
221906,-23.479532259216064
226431,-19.979548324215408
230992,-20.825137059896537
235375,-18.643678883910404
239900,-17.980192781044384
244438,-26.457437251337915
249002,-19.760317385060613
253505,-22.472177572656474
258012,-14.476273982215265
262647,-22.225114521281604
267165,-18.41386096299746
271658,-20.378006501089686
276230,-14.813995844916017
280721,-18.661514684327802
285269,-19.043305434155712
289809,-20.14847362413636
294319,-18.908493577012624
298844,-15.359670641422815
300010,-17.37117487940663
